Drug_ID,Drug,Y
Acrylaldehyde,C=CC=O,3.0860000000000003
"Pyridine, 2-ethenyl-",C=Cc1ccccn1,3.022
"Pyridine, 4-ethenyl-",C=Cc1ccncc1,3.022
"Bicyclo(2.2.1)hept-2-ene, 5-ethenyl-",C=CC1CC2C=CC1C2,1.44
"7-Oxabicyclo(4.1.0)heptane, 3-ethenyl-",C=CC1CCC2OC2C1,1.793
"2,4,8,10-Tetraoxaspiro(5,5)undecane, 3,9-diethenyl- (9CI)",C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002
"Benzene, 4-allyl-1,2-(methylenedioxy)-",C=CCc1ccc2c(c1)OCO2,1.92
"Ether, 2,6-diallylphenyl 2,3-epoxypropyl",C=CCc1cccc(CC=C)c1OCC1CO1,1.71
4-Pentenal,C=CCCC=O,2.132
"Isothiocyanic acid, allyl ester",C=CCN=C=S,2.947
"2-Propen-1-amine, N-2-propenyl-",C=CCNCC=C,2.226
"2-Butenedioic acid (Z)-, di-2-propenyl ester (9CI)",C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003
"1,2-Benzenedicarboxylic acid, di-2-propenyl ester",C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505
"Benzeneacetic acid, 2-propenyl ester",C=CCOC(=O)Cc1ccccc1,2.4330000000000003
"Cyclohexanepropanoic acid, 2-propenyl ester",C=CCOC(=O)CCC1CCCCC1,2.526
"1-Propene, 3,3',3'',3'''-(1,2-ethanediylidenetetrakis(oxy))tetrakis- (9CI)",C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256
"1-Propene, 3-(ethenyloxy)- (9CI)",C=CCOC=C,2.185
"Benzamide, o-allyloxy-N-cyclohexyl-",C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335
"Bicyclo(2.2.1)heptan-2,5-diol, diallyl ether",C=CCOC1CC2CC1CC2OCC=C,1.747
"1-Propene, 3,3'-oxybis-",C=CCOCC=C,2.487
"Aziridine, 1-ethenyl- (9CI)",C=CN1CC1,2.895
1-Ethenyl-2-pyrrolidinone (9CI),C=CN1CCCC1=O,1.879
"Benzoic acid, ethenyl ester (9CI)",C=COC(=O)c1ccccc1,1.659
"Ethene, 1,1'-(oxybis(2,1-ethanediyloxy))bis-",C=COCCOCCOC=C,1.6269999999999998
"Ethene, 1,1'-sulfonylbis-",C=CS(=O)(=O)C=C,3.567
Formaldehyde,C=O,1.574
"1H-Imidazole, 1-((1,1'-biphenyl)-4-ylphenylmethyl)-, (+-)-",c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327
"Diazene, diphenyl-",c1ccc(N=Nc2ccccc2)cc1,2.261
"Phosphine, triphenyl-",c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574
"2,2'-Bipyridine",c1ccc(-c2ccccn2)nc1,3.194
Pyridine,c1ccncc1,1.948
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,2.005
Quinoline,c1ccc2ncccc2c1,2.591
"Naphthalene, pure",c1ccc2ccccc2c1,2.418
"1,3,5-Cycloheptatriene",C1=CC=CCC=C1,3.209
"Indan, 1,2:5,6-diepoxyhexahydro-",C1C2CC3OC3C2CC2OC12,1.852
"Bicyclo(2.2.1)hept-5-ene, 2-(4-cyclohexenyl)-",C1=CCC(C2CC3C=CC2C3)CC1,1.609
"4,7-Methanobenzotrithiole, hexahydro-",C1CC2CC1C1SSSC21,2.802
"7-Oxabicyclo(4.1.0)heptane, 3-(epoxyethyl)-",C1CC2OC2CC1C1CO1,1.818
"1,4-Benzenediamine, N-cyclohexyl-N'-phenyl-",c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124
"Naphthalene, 1,2,3,4-tetrahydro-",c1ccc2c(c1)CCCC2,1.665
"Naphthalene, decahydro-",C1CCC2CCCCC2C1,1.521
7-Oxabicyclo(4.1.0)heptane,C1CCC2OC2C1,1.954
Cyclohexane,C1CCCCC1,0.821
"5H-Tetrazolo(1,5-a)azepine, 6,7,8,9-tetrahydro-",C1CCc2nnnn2CC1,2.994
"Piperazine, 1-phenyl-",c1ccc(N2CCNCC2)cc1,2.888
N-Oxydiethylene-2-benzothiazylsulfenamide,c1ccc2sc(SN3CCOCC3)nc2c1,2.105
"Pyridine, 3-(3,4-dihydro-2H-pyrrol-5-yl)- (9CI)",c1cncc(C2=NCCC2)c1,1.892
Ethyleneimine,C1CN1,3.458
"1,3,5-Triazine, 2,4,6-tris(1-aziridinyl)-",C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31
"10H-Phenothiazine, 10-(1-azabicyclo(2.2.2)oct-3-ylmethyl)- (9CI)",c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119
Piperazine,C1CNCCN1,1.656
"1H-1,4-Diazepine, hexahydro-",C1CNCCNC1,1.5490000000000002
Ethylene oxide,C1CO1,2.787
"p-Dioxane, 2,3-bis(2,3-epoxypropoxy)-",C1COC(OCC2CO2)C(OCC2CO2)O1,2.337
Morpholine,C1COCCN1,1.919
"1,4,7,10-Tetraoxacyclododecane",C1COCCOCCOCCO1,1.794
"1,4,7,10,13-Pentaoxacyclopentadecane",C1COCCOCCOCCOCCO1,2.194
"1,4,7,10,13,16-Hexanoxacyclooctadecane",C1COCCOCCOCCOCCOCCO1,2.279
"1,3-Dioxolane",C1COCO1,1.393
Ethylene sulfide,C1CS1,2.529
"1,4-Oxathiane",C1CSCCO1,1.5659999999999998
"7-Oxabicyclo(4.1.0)hepta-2,4,6-triene, 3-oxiranyl-",c1cc2c(cc1C1CO1)O2,1.676
"m-Xylene-alpha,alpha'-dioxirane",c1cc(CC2CO2)cc(CC2CO2)c1,1.6569999999999998
"Oxirane, 2,2'-(1,3-phenylenebis(oxymethylene))bis-",c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937
"Benzene, 1,2-methylenedioxy-",c1ccc2c(c1)OCO2,2.323
"Methane, bromo-",CBr,2.647
Acetonitrile,CC#N,1.177
"2-Propenenitrile, 2-methyl-",C=C(C)C#N,2.747
"2-Propenamide, N-(3,4-dichlorophenyl)-2-methyl- (9CI)",C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107
"2,8,9-Trioxa-5-aza-1-silabicyclo(3.3.3)undecane, 1-(hydroxymethyl)-, methacrylate",C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536
"2-Propenoic acid, 2-methyl-, 2-propenyl ester",C=CCOC(=O)C(=C)C,2.467
"2-Propenoic acid, 2-methyl-, oxiranylmethyl ester",C=C(C)C(=O)OCC1CO1,2.377
"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",C=C(C)C(=O)OCCCl,2.8710000000000004
"3-Buten-2-one, 3-methyl-",C=C(C)C(C)=O,2.67
"2-Propene-1,1-diol, 2-methyl-, diacetate",C=C(C)C(OC(C)=O)OC(C)=O,2.593
"Benzene, (1-methylethenyl)-",C=C(C)c1ccccc1,1.382
"2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-",C=C(C)C1CC=C(C)C(O)C1,1.705
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (theta)-",C=C(C)C1CC=C(C)CC1,1.491
"3-Butenenitrile, 3-methyl-",C=C(C)CC#N,2.177
"1-Propen-2-ol, acetate",C=C(C)OC(C)=O,1.523
"2-Butenedioic acid, 2-methyl-, (Z)- (9CI)",CC(=CC(=O)O)C(=O)O,1.994
"2,3-Butanedione",CC(=O)C(C)=O,1.736
Methyl vinyl ketone,C=CC(C)=O,3.369
"Propanal, 2-oxo-",CC(=O)C=O,1.791
"9H-Pyrrolo(1',2':2,3)isoindolo(4,5,6-cd)indol-9-one, 10-acetyl-2,6,6a,7,11a,11b-hexahydro-11-hydroxy-7,7-dimethyl-, (6aalpha,11abeta,11balpha)- (8CI)(9CI)",CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971
"Ethanone, 1-(1-naphthalenyl)-",CC(=O)c1cccc2ccccc12,2.0380000000000003
"Ethanone, 1-(4-methylphenyl)-",CC(=O)c1ccc(C)cc1,1.982
"Acetamide, N-(2-(4-acetylphenyl)-2-hydroxy-1-(hydroxymethyl)ethyl)-2,2-dichloro-, (R-(R*,R*))-",CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,2.465
"Ethanone, 1-(3-nitrophenyl)-",CC(=O)c1cccc([N+](=O)[O-])c1,1.706
"Ethanone, 1-(3-aminophenyl)-",CC(=O)c1cccc(N)c1,1.859
"Ethanone, 1-phenyl-",CC(=O)c1ccccc1,2.169
"Ethanone, 1-(2-chlorophenyl)-",CC(=O)c1ccccc1Cl,1.929
"Spiro(benzofuran-2(3H),1'-cyclopropan)-3-one, 5-acetyl-",CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,1.57
"Ethanone, 1-(3,3-dimethyloxiranyl)- (9CI)",CC(=O)C1OC1(C)C,1.851
"2-Propenamide, N-(1,1-dimethyl-3-oxobutyl)-",C=CC(=O)NC(C)(C)CC(C)=O,1.927
"2-Pentanone, 4-hydroxy-4-methyl-",CC(=O)CC(C)(C)O,1.463
"2H-1-Benzopyran-2-one, 4-hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-",CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838
"2H-1-Benzopyran-2-one, 3-(1-(4-chlorophenyl)-3-oxobutyl)-4-hydroxy- (9CI)",CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263
"Pentanoic acid, 4-oxo-",CC(=O)CCC(=O)O,1.798
"2-Butanone, 4-(4-hydroxyphenyl)-",CC(=O)CCc1ccc(O)cc1,2.095
"2-Butanone, 4-phenyl-",CC(=O)CCc1ccccc1,1.666
"2-Propanone, 1-chloro-",CC(=O)CCl,2.966
"2-Propanone, 1-(p-chlorophenyl-tert-butyl)amino-",CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982
"2-Propanone, 1-hydroxy-",CC(=O)CO,1.527
"Piperazine, 1-acetyl-4-(4-((2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)-, cis-",CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505
"Morpholine, 4-acetyl-",CC(=O)N1CCOCC1,1.324
"Benzamide, N-acetyl-2-hydroxy- (9CI)",CC(=O)NC(=O)c1ccccc1O,1.952
"Toluene-2,4-diamine, N(sup 4)-acetyl-N(sup 2)-trifluoromethylsulfonyl-",CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06
"Acetamide, N-(4-(chloroacetyl)phenyl)-",CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993
"Acetamide, N-(4'-amino(1,1'-biphenyl)-4-yl)- (9CI)",CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142
"Acetamide, N-(4-hydroxyphenyl)-",CC(=O)Nc1ccc(O)cc1,1.7990000000000002
"Acetamide, N-phenyl-",CC(=O)Nc1ccccc1,2.228
"Acetamide, N-4-pyridinyl- (9CI)",CC(=O)Nc1ccncc1,2.485
"2-Pyridinecarboxylic acid, 2-acetylhydrazide (9CI)",CC(=O)NNC(=O)c1ccccn1,2.425
"7-Octen-2-ol, 2-methyl-6-methylene-, acetate",C=CC(=C)CCCC(C)(C)OC(C)=O,1.494
"Benzyl alcohol, alpha-(trichloromethyl)-, acetate (9CI)",CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595
"2-Propene-1,1-diol, 2-chloro-, diacetate (8CI)(9CI)",C=C(Cl)C(OC(C)=O)OC(C)=O,2.779
"1,1-Propanediol, 2,3-dichloro-, diacetate",CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855
"2-Propene-1,1-diol, diacetate",C=CC(OC(C)=O)OC(C)=O,3.655
Acetic acid ethenyl ester,C=COC(C)=O,1.47
"Phenol, 6-(1,1-dimethylethyl)-3-methyl-2,4-dinitro-, acetate (ester) (9CI)",CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848
"Salicylamide, acetate (ester) (8CI)",CC(=O)Oc1ccccc1C(N)=O,1.998
"2H-Indol-2-one, 1,3-dihydro-1-acetyl-3,3-bis(4-(acetyloxy)phenyl)-",CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,2.948
"2H-1,4-Benzoxazin-3-(4H)-one, 2,2-bis(p-hydroxyphenyl)-, diacetate",CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,1.717
"Benzoic acid, 3,5-diiodo-4-(4-hydroxy-3-iodophenoxy)-, acetate",CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15
"Acetic acid, phenyl ester",CC(=O)Oc1ccccc1,1.922
"Trichothec-9-en-8-one, 4-(acetyloxy)-12,13-epoxy-3,7,15-trihydroxy-, (3-alpha,4-beta,7-beta)-",CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947
"Acetic acid, cyclohexyl ester",CC(=O)OC1CCCCC1,1.325
"1,2,3-Propanetriol, triacetate",CC(=O)OCC(COC(C)=O)OC(C)=O,1.862
"2-Buten-1-ol, 3-methyl-, acetate",CC(=O)OCC=C(C)C,1.631
"5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 3-((acetyloxy)methyl)-8-oxo-7-(((4-pyridinylthio)acetyl)amino)-, (6R-trans)-",CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,1.413
"Acetic acid, (3,4-methylenedioxy)benzyl ester",CC(=O)OCc1ccc2c(c1)OCO2,1.966
"Acetic acid, phenylmethyl ester",CC(=O)OCc1ccccc1,1.78
"Acetic acid, 2-phenylethyl ester",CC(=O)OCCc1ccccc1,1.651
"Bicyclo(3.1.1)hept-2-ene-2-ethanol, 6,6-dimethyl-, acetate",CC(=O)OCCC1=CCC2CC1C2(C)C,1.842
"Acetic acid, cyclohexylethyl ester",CC(=O)OCCC1CCCCC1,1.726
"Ethylene glycol, monoacetate",CC(=O)OCCO,1.101
"Ethanol, 2,2'-(1,2-ethanediylbis(oxy))bis-, diacetate",CC(=O)OCCOCCOCCOC(C)=O,1.016
Ethaneperoxoic acid,CC(=O)OO,1.694
"Ethanethioamide, N-phenyl-",CC(=S)Nc1ccccc1,1.759
"Propane, 1,2-dibromo-",CC(Br)CBr,2.276
"Benzene, 1,1'-(2-nitropropylidene)bis(4-chloro-",CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],2.617
"Benzeneacetic acid, 3-benzoyl-alpha-methyl-",CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61
"Benzeneacetic acid, 3-chloro-4-(2,5-dihydro-1H-pyrrol-1-yl)-alpha-methyl-",CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,2.8560000000000003
"Benzeneacetic acid, 4-imidazo(1,2-a)pyridin-2-yl-alpha-methyl-",CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,2.96
"Benzeneacetic acid, 4-(1,3-dihydro-1-oxo-2H-isoindol-2-yl)-alpha-methyl-",CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.525
"2-Thiopheneacetic acid, 5-benzoyl-alpha-methyl-",CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,3.158
"1-Propanone, 2-methyl-1,2-di-3-pyridinyl-",CC(C)(C(=O)c1cccnc1)c1cccnc1,2.638
"Propanoic acid, 2,2-dimethyl-",CC(C)(C)C(=O)O,2.055
"Ethanol, 2-(4-chlorophenoxy)-1-tert-butyl-2-(1H-1,2,4-triazole-1-yl)-",CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,2.633
"Phenol, 2,6-bis(1,1-dimethylethyl)-4-nitro- (9CI)",CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,3.002
"Phenol, 2-(1,1-dimethylethyl)-4,6-dinitro- (9CI)",CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.588
"Benzoic acid, 4-(1,1-dimethylethyl)-",CC(C)(C)c1ccc(C(=O)O)cc1,2.406
"1-Piperidinebutanol, alpha-(4-(1,1-dimethylethyl)phenyl)-4-(hydroxydiphenylmethyl)-",CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.975
"Phenol, 4-(1,1-dimethylethyl)-",CC(C)(C)c1ccc(O)cc1,1.707
"2-Furoic acid, 5-tert-butyl-, 2,2,2-trichloroethyl ester",CC(C)(C)c1ccc(C(=O)OCC(Cl)(Cl)Cl)o1,1.874
"Sulfurous acid, 2-(4-(1,1-dimethylethyl)phenoxy)cyclohexyl 2-propynyl ester",C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374
"Benzoic acid, 4-(3-(4-(1,1-dimethylethyl)phenoxy)-2-hydroxypropoxy)-",CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,2.157
"Benzenesulfonamide, N-(5-tert-butyl-1,3,4-thiadiazol-2-yl)-",CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,2.774
Diisobutylene oxide,CC(C)(C)CC1(C)CO1,1.416
"2-Propanamine, 2-methyl-",CC(C)(C)N,2.972
"1,3-Benzenedimethanol, alpha(sup 1)-(((1,1-dimethylethyl)amino)methyl)-4-hydroxy-",CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2.559
"2-Propanol, 1-(2-cyclopentylphenoxy)-3-((1,1-dimethylethyl)amino)-, (S)-",CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,2.362
"Benzenecarboperoxoic acid, 1,1-dimethylethyl ester",CC(C)(C)OOC(=O)c1ccccc1,2.283
"2-Propanethiol, 2-methyl-",CC(C)(C)S,1.28
"Oxirane, 2,2'-((1-methylethylidene)bis(4,1-phenyleneoxymethylene))bis-",CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.491
"2-Propenoic acid, 2,2-dimethyl-1,3-propanediyl ester",C=CC(=O)OCC(C)(C)COC(=O)C=C,1.499
"1,3-Propanediol, 2,2-dimethyl-, dicarbamate",CC(C)(COC(N)=O)COC(N)=O,1.88
"Cyclohexanemethanamine, 4-amino-alpha,alpha,4-trimethyl-",CC1(N)CCC(C(C)(C)N)CC1,2.384
"Benzeneethanamine, 4-chloro-alpha,alpha-dimethyl-",CC(C)(N)Cc1ccc(Cl)cc1,2.866
"3-Butyn-2-ol, 2-methyl-",C#CC(C)(C)O,1.635
"4-Penten-2-yn-1-ol, 1,1-dimethyl- (7CI)",C=CC#CC(C)(C)O,2.264
"Benzenemethanol, alpha,alpha-dimethyl-",CC(C)(O)c1ccccc1,2.02
"Phenethyl alcohol, alpha,alpha-dimethyl-",CC(C)(O)Cc1ccccc1,2.07
"Propanoic acid, 2-(4-(2-((4-chlorobenzoyl)amino)ethyl)phenoxy)-2-methyl-",CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.946
"Propanoic acid, 2-(4-chlorophenoxy)-2-methyl-",CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2.379
"Hydroperoxide, alpha,alpha-dimethylbenzyl-",CC(C)(OO)c1ccccc1,2.6
"3-Penten-2-one, 4-methyl-",CC(=O)C=C(C)C,1.943
"2-Butenoic acid, 3-methyl-",CC(C)=CC(=O)O,1.449
"Succinic anhydride, tri(isobutenyl)-",CC(C)=CC1C(=O)OC(=O)C1(C=C(C)C)C=C(C)C,2.446
"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methylpropenyl)-, ester with 2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one (VAN) (8CI)",C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.546
"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2,4-pentadienyl)-2-cyclopenten-1-yl ester, (1theta-(1alpha(S(Z)),3beta))-",C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,3.1010000000000004
"4-Morpholinebutanamide, alpha-(3-methyl-2-butenyl)-alpha-1-naphthalenyl- (9CI)",CC(C)=CCC(CCN1CCOCC1)(C(N)=O)c1cccc2ccccc12,3.3160000000000003
"3,5-Pyrazolidinedione, 1,2-diphenyl-4-(3-methyl-2-butenyl)-",CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.378
"(1)-3,7-Dimethyl-1,6-octadien-3-ol",C=CC(C)(O)CCC=C(C)C,1.743
2-Propanone,CC(C)=O,1.001
"Carbamic acid, methyl(2-methyl-1-oxopropyl)-, 3-(1-methylethyl)phenyl ester (9CI)",CC(C)C(=O)N(C)C(=O)Oc1cccc(C(C)C)c1,2.62
"Propanoic acid, 2-methyl-, 4-methylphenyl ester",Cc1ccc(OC(=O)C(C)C)cc1,1.649
"Propanoic acid, 2-methyl-, phenylmethyl ester",CC(C)C(=O)OCc1ccccc1,1.796
"Butanamide, N-(aminocarbonyl)-2-bromo-3-methyl-",CC(C)C(Br)C(=O)NC(N)=O,2.3480000000000003
"Benzeneacetic acid, 4-(difluoromethoxy)-alpha-(1-methylethyl)-, cyano(3-phenoxyphenyl)methyl ester",CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,3.829
"2-Butanone, 3-methyl-",CC(=O)C(C)C,2.765
"Cycloheanol, 4-methylene-3-(2-(tetrahydro-7a-methyl-1-(1,4,5-trimethyl-2-hexenyl)-4(3aH)-indanylidene)ethylidene)-",C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3.85
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-",CC1=CCC(O)(C(C)C)CC1,2.074
"o-1,4-Menthadiene",CC1=C(C(C)C)CC=CC1,1.504
"Isothiazolo(3,4-d)pyrimidine-4-one, 6-tert-butyl-3-isopropyl-",CC(C)c1s[nH]c2nc(C(C)(C)C)nc(=O)c1-2,1.392
"Phenol, 2-methyl-5-(1-methylethyl)-",Cc1ccc(C(C)C)cc1O,2.268
"Carbamic acid, methylnitroso-, m-cumenyl ester",CC(C)c1cccc(OC(=O)N(C)N=O)c1,2.745
"Phenol, 4-(2-(dimethylamino)ethoxy)-2-methyl-5-(1-methylethyl)-, acetate (ester)",CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.522
"Benzonitrile, 4-(1-methylethyl)-",CC(C)c1ccc(C#N)cc1,1.571
"Benzaldehyde, 4-(1-methylethyl)-",CC(C)c1ccc(C=O)cc1,2.028
"Benzenemethanol, 4-(1-methylethyl)-",CC(C)c1ccc(CO)cc1,2.168
"Urea, 1,1-dimethyl-3-(p-isopropylphenyl)-",CC(C)c1ccc(NC(=O)N(C)C)cc1,2.053
"Benzenamine, 2,6-bis(1-methylethyl)-",CC(C)c1cccc(C(C)C)c1N,1.743
"Carbamic acid, N,N-dimethyl-, m-isopropylphenyl ester",CC(C)c1cccc(OC(=O)N(C)C)c1,3.112
"Benzene, (1-methylethyl)-",CC(C)c1ccccc1,1.934
"Benzenamine, 2-(1-methylethyl)-",CC(C)c1ccccc1N,2.059
"1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",CC1=CCC(C(C)C)=CC1,1.5719999999999998
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-",CC1=CC(=O)C(C(C)C)CC1,1.793
"Cyclohexanone, 5-methyl-2-(1-methylethyl)-, (2R,5S)-rel-",CC1CCC(C(C)C)C(=O)C1,2.489
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1alpha,2beta,5alpha)-",CC1CCC(C(C)C)C(O)C1,1.6909999999999998
"4-Heptanone, 2,6-dimethyl-",CC(C)CC(=O)CC(C)C,1.393
"Trichothec-9-ene-3,4,8,15-tetrol, 12,13-epoxy-, 4,15-diacetate 8-(3-methylbutanoate), (3alpha,4beta,8alpha)- (9CI)",CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.238
"Butanoic acid, 3-methyl-, 2-propenyl ester",C=CCOC(=O)CC(C)C,2.7910000000000004
"2-Pentanone, 4-methyl-",CC(=O)CC(C)C,1.683
"4-Nonanol, 2,6,8-trimethyl-",CC(C)CC(C)CC(O)CC(C)C,1.04
"Ether, 2,6,8-trimethylnonyl vinyl",C=COCC(C)CCCC(C)CC(C)C,2.241
"2-Pentanol, 4-methyl-",CC(C)CC(C)O,1.596
"2-Butenedioic acid (2Z)-, bis(1,3-dimethylbutyl) ester",CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,1.588
"Ethanol, 2-(2-(1-isobutyl-3-methylbutoxy)ethoxy)-",CC(C)CC(CC(C)C)OCCOCCO,1.4280000000000002
