Drug,Y
C=CC(C)CCCC(C)(C)O,1.638
C=CC(C)NC(=S)NNC(=S)NC,2.339
C=CC(CCCCC)OC(C)=O,2.302
C=CC(COC)c1ccccc1OC(=O)NC,3.372
C=CC(Cl)=C(Cl)Cl,2.365
C=CC(N)CCC(=O)O,1.634
C=CC(O)C(O)C=C,1.848
C=CC(OC(C)=O)OC(C)=O,3.655
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,2.207
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,2.345
C=CC1(C)CCC(C(C)(C)O)O1,2.17
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,1.457
C=CC1CC2C=CC1C2,1.44
C=CC1CCC2OC2C1,1.793
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.091
C=CC1OCC(C)O1,2.108
C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002
C=CC1OCCO1,3.073
C=CC=C,0.994
C=CC=CC=C,2.582
C=CC=CC=CCCCCC,1.298
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O,3.27
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,3.1010000000000004
C=CC=COC,1.594
C=CC=O,3.0860000000000003
C=CCC(CC)(CC)C(N)=O,2.589
C=CCC(CC=C)C(=O)O,2.391
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.591
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.546
C=CCCC(=O)O,2.3280000000000003
C=CCCC=O,2.132
C=CCCCC=CCO,0.985
C=CCCCC=CCOC(C)=O,0.7290000000000001
C=CCCCCC=C,0.875
C=CCCCCCCCCC(=O)OCCCC,1.682
C=CCCl,2.039
C=CCN,2.748
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,2.733
C=CCN(CC=C)C(=O)CSP(=S)(OCC)OCC,3.829
C=CCN(CC=C)c1c(C)cc(OC(=O)NC)cc1C,3.489
C=CCN(CC=C)c1ccc(OC(=O)NC)cc1,3.4530000000000003
C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,2.475
C=CCN1CCCC1=Nc1ccc(Cl)c(Cl)c1,2.1630000000000003
C=CCN=C=O,2.696
C=CCN=C=S,2.947
C=CCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.138
C=CCNC(=O)OCC(O)C1COc2ccccc2O1,2.27
C=CCNC(=O)ON=C1SCOC1C,2.679
C=CCNC(=S)Nc1ccccc1,2.4090000000000003
C=CCNC(N)=S,2.764
C=CCNCC=C,2.226
C=CCNP(=O)(OC=C(Cl)Cl)OC1CCCCC1,3.497
C=CCNP(=O)(OC=C(Cl)Cl)OCCCl,4.071000000000001
C=CCNc1nc(NCC=C)nc(N(CCCCCCN(c2nc(NCC=C)nc(NCC=C)n2)C2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)n1,2.285
C=CCO,2.958
C=CCOC(=O)C(=C)C,2.467
C=CCOC(=O)C1CC2OC2CC1C,2.594
C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003
C=CCOC(=O)C=Cc1ccccc1,2.093
C=CCOC(=O)CC#N,2.893
C=CCOC(=O)CC(C)C,2.7910000000000004
C=CCOC(=O)CC(C)CC(C)(C)C,2.151
C=CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC(C)SP(=S)(OC)OC,2.8280000000000003
C=CCOC(=O)CCC,2.71
C=CCOC(=O)CCC1CCCCC1,2.526
C=CCOC(=O)CCCCC,2.855
C=CCOC(=O)CCCCCC,2.532
C=CCOC(=O)CCCCCCC,2.51
C=CCOC(=O)CCCCCCCC1OC1CCCCCCCC,2.451
C=CCOC(=O)COc1ccccc1,2.565
C=CCOC(=O)Cc1ccccc1,2.4330000000000003
C=CCOC(=O)Cl,2.694
C=CCOC(=O)OC(=C)C(=O)OCC=C,2.736
C=CCOC(=O)c1ccc(C(=O)OCC=C)c(C(=O)OCC=C)c1,2.139
C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505
C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256
C=CCOC(OCC=C)C1OC(OCC=C)C(OCC=C)O1,2.275
C=CCOC1=NS(=O)(=O)c2ccccc21,2.041
C=CCOC1CC2CC1CC2OCC=C,1.747
C=CCOC=C,2.185
C=CCOCC(CC)(CO)CO,1.548
C=CCOCC(CC)(CO)COCC=C,1.518
C=CCOCC=C,2.487
C=CCOCCO,1.525
C=CCOP(OCC=C)OCC=C,3.055
C=CCOc1ccc(C2c3ccc(OC)cc3OC(C)(C)C2c2ccccc2)cc1,2.904
C=CCOc1ccc(CC(=O)O)cc1Cl,2.334
C=CCOc1ccccc1C(=O)N(CC)CC,2.8560000000000003
C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335
C=CCOc1ccccc1C(N)=O,2.356
C=CCOc1ccccc1OC(=O)NC,3.015
C=CCOc1nc(OCC=C)nc(OCC=C)n1,2.6260000000000003
C=CCSC(=S)SC(Cl)(Cl)Cl,2.089
C=CCSCC=C,1.5830000000000002
C=CCSP(=O)(NC(=O)CC)OC,3.252
C=CCSc1nnc(CSP(=S)(OC)OC)s1,2.33
C=CCSc1nnc(CSP(=S)(OCC)OCC)s1,3.188
C=CCc1ccc(O)c(OC)c1,1.93
C=CCc1ccc(OC(C)=O)c(OC)c1,2.092
C=CCc1ccc(OC)cc1,2.081
C=CCc1ccc(OC=O)c(OC)c1,1.7519999999999998
C=CCc1ccc2c(c1)OCO2,1.92
C=CCc1cccc(CC=C)c1OCC1CO1,1.71
C=CCc1ccccc1,1.329
C=CCl,2.097
C=CCn1c(=O)[nH]c(=O)n(CC=C)c1=O,2.352
C=CCn1c(=O)c2[nH]c(C)nc2n(CC(C)C)c1=O,4.188
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,2.397
C=CCn1c(C)cc(OP(=O)(OC)OC)cc1=O,5.046
C=CCn1ccc(=O)c(O)c1C,2.315
C=CN,1.367
C=CN(C(C)=O)c1ccccc1,1.816
C=CN(C)C(C)=O,1.544
C=CN(C)N=O,3.555
C=CN(CC)C(C)=O,1.663
C=CN(CC)N=O,3.056
C=CN1CC1,2.895
C=CN1CCCC1=O,1.879
C=CO,2.838
C=COC,1.074
C=COC(=O)C(CC)CCCC,1.599
C=COC(=O)C=C,3.063
C=COC(=O)C=CC,1.237
C=COC(=O)CCCCC(=O)OC,1.4780000000000002
C=COC(=O)CCCCCCC,1.358
C=COC(=O)c1ccccc1,1.659
C=COC(C)=O,1.47
C=COCC,1.069
C=COCC(C)C,0.77
C=COCC(C)CCCC(C)CC(C)C,2.241
C=COCC(CC)CCCC,2.064
C=COCCCC,1.001
C=COCCCl,2.63
C=COCCN(C)C,2.806
C=COCCO,1.3530000000000002
C=COCCOC,1.418
C=COCCOC(=O)C(=C)C,1.42
C=COCCOCC1CO1,1.771
C=COCCOCCO,1.4280000000000002
C=COCCOCCOC=C,1.6269999999999998
C=COCCOCCOCC,1.152
C=COCCOCCOCC(=O)OC,1.257
C=COCCSC,1.561
C=COCCSCCCC,1.753
C=COP(=O)(OCC)OC(CCl)c1cc(Cl)c(Cl)cc1Cl,2.5540000000000003
C=CP(=O)(OCCCl)OCCCl,2.372
C=CS(=O)(=O)C=C,3.567
C=CS(=O)(=O)COCS(=O)(=O)C=C,3.656
C=C[Si](C)(C)N[Si](C)(C)C=C,2.599
C=C[Si](Cl)(Cl)CC,1.739
C=C[Si](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,2.048
C=C[Si](OC)(OC)OC,1.118
C=C[Si](OCCOC)(OCCOC)OCCOC,1.976
C=Cc1ccc(C)cc1,1.719
C=Cc1ccc(C)nc1,2.009
C=Cc1ccc(CC)cn1,2.035
C=Cc1ccc(OC(C)=O)cc1,2.033
C=Cc1cccc(C)c1,1.719
C=Cc1ccccn1,3.022
C=Cc1ccncc1,3.022
C=O,1.574
CBr,2.647
CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21,4.521
CC#N,1.177
CC(=C1CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,1.608
CC(=CC(=O)O)C(=O)O,1.994
CC(=CC(=O)O)C1CCCCC1,1.764
CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,2.001
CC(=CC(O)(C(F)(F)F)C(F)(F)F)CC(O)(C(F)(F)F)C(F)(F)F,4.334
CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,4.78
CC(=Cc1ccccc1)CC(=O)N(CCO)CCO,2.244
CC(=Cc1ccccc1)CC(=O)N1CCOCC1,2.39
CC(=Cc1ccccc1)CC(=O)NC1CCCCC1,1.933
CC(=Cc1ccccc1)CNN=C(C)C(=O)O,2.533
CC(=NNC(=O)c1ccncc1)c1ccco1,3.319
CC(=NO)C(=O)c1ccccc1,1.585
CC(=NO)C(C)(O)C#Cc1ccccc1,1.813
CC(=NOC(=O)N(C)SSN(C)C(=O)ON=C(C)SCCC#N)SCCC#N,3.764
CC(=O)C(C)=O,1.736
CC(=O)C(C)C,2.765
CC(=O)C(Cl)C(=O)N(C)C,2.515
CC(=O)C(Cl)C(=O)OC(C)c1ccccc1,2.437
CC(=O)C1(O)CCC(c2ccccc2)CC1,1.436
CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,3.049
CC(=O)C1CCCC1=O,2.158
CC(=O)C1OC1(C)C,1.851
CC(=O)C=C(C)C,1.943
CC(=O)C=C1CCC2C13CCC(C)C(C3)C2(C)C,1.676
CC(=O)C=CC(C)C,1.895
CC(=O)C=CC1C(C)C=C(C)CC1C,1.568
CC(=O)C=Cc1ccc(-c2ccccc2)cc1,1.999
CC(=O)C=Cc1ccc2c(c1)OCO2,1.6769999999999998
CC(=O)C=Cc1ccccc1,1.857
CC(=O)C=O,1.791
CC(=O)CC(=O)N(C)C,0.757
CC(=O)CC(=O)OCCOC(C)=O,1.197
CC(=O)CC(C)(C)N(C)N=O,1.877
CC(=O)CC(C)(C)O,1.463
CC(=O)CC(C)C,1.683
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838
CC(=O)CC(c1ccco1)c1c(O)c2ccccc2oc1=O,4.077
CC(=O)CC1OCC(CCl)O1,3.173
CC(=O)CCC(=O)O,1.798
CC(=O)CCC(C)C,1.5519999999999998
CC(=O)CCCCCCCC(=O)O,1.779
CC(=O)CCCOC(C)=O,1.375
CC(=O)CCc1c(OC(=O)c2ccccc2)n(-c2ccccc2)n(-c2ccccc2)c1=O,2.265
CC(=O)CCc1ccc(-c2ccccc2)cc1,2.338
CC(=O)CCc1ccc(O)cc1,2.095
CC(=O)CCc1ccccc1,1.666
CC(=O)CCl,2.966
CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982
CC(=O)CNC(C)(C)Cc1ccccc1,2.96
CC(=O)CO,1.527
CC(=O)Cl,1.936
CC(=O)N(C)C(=O)Oc1cc(C)c(C)cc1Cl,1.806
CC(=O)N(C)N=O,3.708
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,1.937
CC(=O)N1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,2.966
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505
CC(=O)N1CCOCC1,1.324
CC(=O)NC(=O)N(C)N=O,2.861
CC(=O)NC(=O)c1ccccc1O,1.952
CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCNC(=N)N,2.773
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,1.215
CC(=O)NC1(O)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C42Cl,3.594
CC(=O)NCCO,0.583
CC(=O)NNC(=O)c1ccccn1,2.425
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,1.217
CC(=O)Nc1cc(Cl)c([N+](=O)[O-])cc1Cl,1.945
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,1.89
CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142
CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993
CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06
CC(=O)Nc1ccc(N)cc1,1.779
CC(=O)Nc1ccc(O)cc1,1.7990000000000002
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,1.952
CC(=O)Nc1ccc([N+](=O)[O-])c(Cl)n1,2.046
CC(=O)Nc1ccc2[nH]c(C(F)(F)F)nc2c1,4.01
CC(=O)Nc1ccc2c(c1)OCO2,2.253
CC(=O)Nc1ccc2c(c1)sc1ccccc12,2.305
CC(=O)Nc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1.679
CC(=O)Nc1cccc2c3c([nH]c12)CCCC3,1.771
CC(=O)Nc1ccccc1,2.228
CC(=O)Nc1ccncc1,2.485
CC(=O)O,1.259
CC(=O)OC(C(Cl)(Cl)Cl)P(=O)(Oc1ccccc1)Oc1ccccc1,2.111
CC(=O)OC(C)(C)C,1.452
CC(=O)OC(C)(C)C1CC=C(C)CC1,1.587
CC(=O)OC(C)(C)CCc1ccccc1,1.629
CC(=O)OC(C)C,1.5319999999999998
CC(=O)OC(C)C(Cl)(Cl)Cl,2.358
CC(=O)OC(C)CC(C)(C)OC(C)=O,1.78
CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855
CC(=O)OC(c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,1.527
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595
CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,0.7709999999999999
CC(=O)OC1=C(OC(C)=O)C(=O)OC1=O,1.5530000000000002
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947
CC(=O)OC1CC(C)CCC1C(C)C,1.415
CC(=O)OC1CC(C)OC(C)O1,1.955
CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(O)C=C12,5.038
CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,6.159
CC(=O)OC1CCC(N2CCCCC2)CC1,2.063
CC(=O)OC1CCCCC1,1.325
CC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)C=C(C)C,2.667
CC(=O)OC1c2cccc(O)c2C(=O)c2c(O)cccc21,2.9130000000000003
CC(=O)OC=CCOC(C)=O,3.023
CC(=O)OCC(C(OC(C)=O)c1ccccc1)[N+](=O)[O-],1.939
CC(=O)OCC(C)OC(C)=O,1.073
CC(=O)OCC(C)c1ccccc1,1.618
