SMILES,LD50,Name,BertzCT,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HeavyAtomCount,HeavyAtomMolWt,Kappa3,MaxPartialCharge,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,SMR_VSA10,SlogP_VSA12,SlogP_VSA5,VSA_EState4,VSA_EState9,qed,n_measurements,MW
BrCc1cccc(Oc2ccccc2)c1,2.054,1-(bromomethyl)-3-phenoxybenzene,425.5609034,3.756884552,2.031657771,2.679138147,1.31672144,1.665503018,15,252.046,2.831783376,0.127233412,0.127233412,0.846219923,-0.457373434,4.3738,263.134,1,0,2,2,15.9299439,15.9299439,5.563451492,1.211510299,0.0,0.746762822,1,263.134
Brc1c[nH]cn1,2.769,5-bromo-1h-imidazole,112.353618,1.704404311,0.464853453,0.898523608,0.242233539,0.476775554,6,143.951,0.596593738,0.123317901,0.123317901,0.849537037,-0.350123452,1.1722,146.975,1,1,3,1,15.9299439,15.9299439,0.0,0.0,0.0,0.585673975,1,146.975
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,6.699,"2,3,7,8-tetrabromodibenzo-p-dioxin",543.5110496,7.047575614,2.413112214,6.101606129,1.576637274,2.866135772,18,495.746,2.236892508,0.170861009,0.170861009,0.68684949,-0.449425704,6.6346,499.778,2,0,6,3,63.71977559,63.71977559,0.0,0.0,0.0,0.345378279,1,499.7780000000001
Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,4.069,5-bromo-3-(piperidin-4-ylmethyl)-1h-indole,511.9166088,5.816994616,3.696783135,4.190034774,2.716349117,3.077434378,17,276.072,2.402787052,0.04570855,0.04570855,0.841881141,-0.360888835,3.4725,293.208,1,2,3,3,26.83286883,15.9299439,18.40509474,2.713272628,0.0,0.871506325,1,293.208
Brc1ccccc1,1.819,bromobenzene,134.1073697,2.211243688,0.733110559,1.261776072,0.414667104,0.719892281,7,151.97,1.316124136,0.017475283,0.017475283,1.134259259,-0.062189991,2.4491,157.01,0,0,1,1,15.9299439,15.9299439,0.0,0.0,0.0,0.542045009,1,157.01
Brc1nc(Br)c(Br)[nH]1,3.952,"2,4,5-tribromo-1h-imidazole",174.9086471,3.427681274,0.590330899,2.645610441,0.30534429,1.737788946,8,303.759,1.326592354,0.175934012,0.175934012,0.71875,-0.326266671,2.6972,304.767,1,1,5,1,47.78983169,47.78983169,0.0,0.0,0.0,0.784226842,1,304.76699999999994
C#CC(=O)/C=C/C,3.122,(e)-hex-4-en-1-yn-3-one,125.605671,1.008588337,0.46030028,0.46030028,0.199487238,0.199487238,7,88.065,2.781558985,0.227591503,0.227591503,-0.275462963,-0.279943149,0.7648,94.113,1,0,1,0,5.783244946,0.0,6.9237372,0.0,0.0,0.266211474,1,94.11299999999999
C#CC(=O)O,2.845,prop-2-ynoic acid,77.38407799,0.449490132,0.123475288,0.123475288,0.0,0.0,5,68.031,3.03,0.381139642,0.381139642,-1.217592593,-0.471634827,-0.2958,70.047,1,1,2,0,5.969305288,0.0,0.0,0.0,0.0,0.397282798,1,70.047
C#CC(C)(C)N,1.752,2-methylbut-3-yn-2-amine,70.91968454,1.866025404,0.372008468,0.372008468,0.0,0.0,6,74.062,3.52,0.071588995,0.071588995,-0.430555556,-0.315622148,0.3569,83.134,1,1,1,0,0.0,0.0,13.8474744,4.868055556,0.0,0.420236812,1,83.134
C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,2.726,"(e)-n-(2-methylbut-3-yn-2-yl)-3-(3,4,5-trimethoxyphenyl)prop-2-enamide",586.5703322,5.050594926,2.910758561,2.910758561,1.755255066,1.755255066,22,282.19,4.45282465,0.244662679,0.244662679,-0.69770694,-0.492692399,2.2536,303.358,4,1,5,1,11.98319984,0.0,19.41092589,0.041333593,4.602282692,0.646732469,1,303.358
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.883,"3,5-dichloro-n-(2-methylbut-3-yn-2-yl)benzamide",440.3268316,4.75445689,1.91161911,2.34805489,1.077008298,1.603050779,16,245.044,3.444961103,0.252048633,0.252048633,-0.702502834,-0.336269374,3.135,256.132,1,1,4,1,29.10905951,23.20187978,24.20546308,-0.312850057,0.0,0.809001628,1,256.132
C#CC(C)(C)O,1.635,2-methylbut-3-yn-2-ol,70.91968454,1.703354562,0.353224857,0.353224857,0.0,0.0,6,76.054,3.52,0.119202526,0.119202526,-0.930555556,-0.378215868,0.3905,84.118,1,1,1,0,0.0,0.0,13.8474744,-0.930555556,0.0,0.420839728,1,84.11799999999998
C#CC(C)(CCC=C(C)C)OC(C)=O,1.305,"3,7-dimethyloct-6-en-1-yn-3-yl acetate",266.5365416,3.788984684,1.848301335,1.848301335,1.106163112,1.106163112,14,176.13,5.421718317,0.303641499,0.303641499,-0.766087963,-0.44632004,2.6878,194.274,2,0,2,0,5.969305288,0.0,40.53659204,0.476686508,0.0,0.390524365,1,194.27399999999997
C#CC(C)(O)C(O)c1ccccc1,2.383,"2-methyl-1-phenylbut-3-yne-1,2-diol",308.6122057,3.10507997,1.939971247,1.939971247,1.038800326,1.038800326,13,164.119,2.086843258,0.151734227,0.151734227,-1.512546296,-0.384328786,1.1042,176.215,2,2,2,1,0.0,0.0,18.59115508,-0.896388889,0.0,0.662436127,1,176.21499999999997
C#CC(C)N(C(=O)CCl)c1ccccc1,2.278,n-but-3-yn-2-yl-2-chloro-n-phenylacetamide,368.9585511,3.34282199,2.045872956,2.274504762,1.311101692,1.439869678,15,209.591,2.742021999,0.242461648,0.242461648,-0.292916667,-0.297339861,2.2801,221.687,1,0,3,1,23.19550589,11.60093989,6.9237372,0.771851852,0.0,0.566616392,1,221.68700000000004
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.121,1-but-3-yn-2-yl-3-(4-chlorophenyl)-1-methylurea,408.0220914,3.827026638,2.237986583,2.489962899,1.032558719,1.158546876,16,223.598,3.179617886,0.322078041,0.314034347,-0.243240548,-0.314034347,2.8254,236.702,1,1,4,1,23.31944068,11.60093989,6.9237372,0.685621693,1.648589678,0.787267906,1,236.70200000000003
C#CC(C)OC(=O)Nc1cccc(Cl)c1,1.973,but-3-yn-2-yl n-(3-chlorophenyl)carbamate,397.8195494,3.28598693,1.589539986,1.824637088,0.908127107,1.098414956,15,213.579,3.922451429,0.412358191,0.412358191,-0.59470679,-0.433097138,2.9102,223.659,2,1,4,1,23.38156624,11.60093989,6.9237372,0.56640873,0.0,0.783331139,1,223.65900000000002
C#CC(O)/C=C/C,3.451,(e)-hex-4-en-1-yn-3-ol,97.23787226,1.1372874,0.545502075,0.545502075,0.237846897,0.237846897,7,88.065,3.080361921,0.132596151,0.132596151,-0.703703704,-0.376724922,0.5566,96.129,1,1,1,0,0.0,0.0,6.9237372,0.0,0.0,0.37323851,1,96.12899999999999
C#CC(O)CCC,2.891,hex-1-yn-3-ol,70.73943006,1.471139577,0.754498876,0.754498876,0.356770346,0.356770346,7,88.065,3.34770773,0.113998346,0.113998346,-0.523148148,-0.380395813,0.7806,98.145,1,1,1,0,0.0,0.0,19.76538045,0.0,0.0,0.505903882,1,98.14500000000001
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,2.213,"[(e)-4-methylhept-4-en-1-yn-3-yl] 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",470.1369155,6.408821054,4.00255179,4.00255179,2.674921929,2.674921929,20,248.196,3.536892118,0.311201649,0.311201649,-0.535923091,-0.444272084,4.1261,274.404,2,0,2,1,5.969305288,0.0,47.96324482,2.12971047,0.0,0.427952495,1,274.404
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,1.795,"13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",597.4530523,8.395265549,8.018385648,8.018385648,6.96030985,6.96030985,23,284.229,1.955547171,0.155176402,0.155176402,-0.892823549,-0.37702277,3.8826,312.453,2,1,2,4,5.783244946,0.0,64.71113181,0.473790588,0.0,0.746050157,1,312.4530000000001
C#CC1(O)CCCCC1,2.33,1-ethynylcyclohexan-1-ol,125.9932866,2.736582295,1.949387447,1.949387447,1.281004841,1.281004841,9,112.087,1.461797916,0.124770703,0.124770703,-0.751736111,-0.377627101,1.3148,124.183,1,1,1,1,0.0,0.0,32.10410811,-0.751736111,0.0,0.482685024,1,124.183
C#CC1(OC(C)=O)CCCCC1C(C)CC,2.514,(2-butan-2-yl-1-ethynylcyclohexyl) acetate,289.6006918,4.865277604,3.813275903,3.813275903,2.790920471,2.790920471,16,200.152,2.580973699,0.303662364,0.303662364,-0.639375,-0.445716163,3.1578,222.328,2,0,2,1,5.969305288,0.0,52.87531971,-0.639375,0.0,0.541357963,1,222.32799999999997
C#CC1(OC(N)=O)CCCCC1,2.703,(1-ethynylcyclohexyl) carbamate,211.05865,3.120386003,2.220241472,2.220241472,1.591308395,1.591308395,12,154.104,1.911243387,0.40552632,0.40552632,-0.768657407,-0.429867316,1.4178,167.208,2,1,3,1,6.093240071,0.0,32.10410811,4.223057445,0.0,0.600261632,1,167.20799999999997
C#CCBr,3.351,3-bromoprop-1-yne,33.0383064,0.89848922,0.077151675,0.400891863,0.0,0.0,4,115.937,2.04,0.064235396,0.064235396,0.659722222,-0.119216173,1.0145,118.961,0,0,1,0,15.9299439,15.9299439,0.0,0.0,0.0,0.329459598,1,118.96099999999998
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,2.815,"[(1r)-2-methyl-4-oxo-3-prop-2-ynylcyclopent-2-en-1-yl] (1s,3s)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",609.0817788,7.164134544,4.881110222,4.881110222,3.340593348,3.340593348,22,276.206,2.877894849,0.310236648,0.310236648,-0.437867536,-0.457090579,3.4492,300.398,3,0,3,2,11.75255023,0.0,47.46032924,2.581007647,0.0,0.453577819,1,300.398
C#CCCC#CC#CCCCCO,2.843,"dodeca-5,7,11-triyn-1-ol",261.460502,2.488391115,1.343504841,1.343504841,0.673248878,0.673248878,13,160.131,10.64,0.043085877,0.043085877,0.245563485,-0.396375977,1.5692,174.243,1,1,1,0,0.0,0.0,32.10410811,0.0,0.0,0.506409628,1,174.24299999999997
C#CCCCC#C,1.603,"hepta-1,6-diyne",84.18716786,1.261801681,0.642228525,0.642228525,0.292512493,0.292512493,7,84.077,5.12,0.00950789,0.00950789,0.809722222,-0.120108748,1.4231,92.141,0,0,0,0,0.0,0.0,19.26246487,0.0,0.0,0.356749163,1,92.14099999999999
C#CCN,1.944,prop-2-yn-1-amine,33.0383064,0.40824829,0.11785113,0.11785113,0.0,0.0,4,50.04,1.52,0.05482576,0.05482576,0.347222222,-0.320261457,-0.4217,55.08,1,1,1,0,0.0,0.0,0.0,4.791666667,0.0,0.373942012,1,55.07999999999999
C#CCN(C)C1CCc2ccccc21,2.87,"n-methyl-n-prop-2-ynyl-2,3-dihydro-1h-inden-1-amine",361.7434668,3.872525502,2.973953763,2.973953763,2.246675114,2.246675114,14,170.15,1.537818602,0.060096673,0.060096673,0.529861111,-0.288307613,2.2389,185.27,1,0,1,2,0.0,0.0,23.58956544,2.950575397,2.103796296,0.638640913,1,185.27
C#CCN(C)Cc1ccccc1,2.725,n-benzyl-n-methylprop-2-yn-1-amine,258.0826435,2.862012801,1.656520505,1.656520505,1.106831972,1.106831972,12,146.128,2.773447112,0.059883154,0.059883154,0.703268141,-0.291126464,1.7516,159.232,1,0,1,1,0.0,0.0,5.563451492,1.301157407,2.020694444,0.607262791,1,159.232
C#CCN(C)c1ccccc1OC(=O)NC,3.561,[2-[methyl(prop-2-ynyl)amino]phenyl] n-methylcarbamate,409.7249418,3.16743072,2.011740261,2.011740261,1.231825288,1.231825288,16,204.144,2.92196456,0.411913139,0.408132814,-0.498557729,-0.408132814,1.4742,218.256,3,1,4,1,11.78062635,0.0,0.0,0.781527778,3.349209577,0.78111968,1,218.25599999999997
C#CCN(CC)CC,1.955,"n,n-diethylprop-2-yn-1-amine",76.87784056,1.665513954,1.209321082,1.209321082,0.57631304,0.57631304,8,98.084,2.652899243,0.05982419,0.05982419,0.784722222,-0.292910522,0.9614,111.188,1,0,1,0,0.0,0.0,13.8474744,0.0,0.0,0.490260081,1,111.18799999999999
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.725,"7-chloro-5-phenyl-1-prop-2-ynyl-3h-1,4-benzodiazepin-2-one",790.4796096,5.312774488,3.474627854,3.709724957,2.492311853,2.664414877,22,295.664,2.613523746,0.249030783,0.249030783,-0.118098545,-0.298501003,3.1572,308.768,2,0,4,3,28.9071909,11.60093989,11.12690298,3.263517416,0.0,0.784442122,1,308.7680000000001
C#CCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2.562,"7-nitro-5-phenyl-1-prop-2-ynyl-3h-1,4-benzodiazepin-2-one",882.1271532,5.173429492,3.706983135,3.706983135,2.621640553,2.621640553,24,306.216,2.750317646,0.269757341,0.269757341,-0.471103159,-0.298494104,2.412,319.32,4,0,6,3,22.99363728,0.0,11.12690298,2.32344246,0.0,0.495103145,1,319.3200000000001
C#CCN1CCC2=C(C1)c1c(O)cc(C(C)C(C)CCCCC)cc1OC2(C)C,2.643,"5,5-dimethyl-8-(3-methyloctan-2-yl)-2-prop-2-ynyl-3,4-dihydro-1h-chromeno[4,3-c]pyridin-10-ol",814.7326117,9.409165569,6.878607065,6.878607065,4.876817247,4.876817247,29,358.291,4.482985528,0.131687346,0.131687346,-0.3555457,-0.507166185,5.9756,395.587,3,1,3,3,5.57310453,0.0,83.76760314,4.176650837,0.0,0.455523267,1,395.5870000000003
C#CCO,3.448,prop-2-yn-1-ol,33.0383064,0.362238028,0.091287093,0.091287093,0.0,0.0,4,52.032,1.52,0.103467552,0.103467552,-0.152777778,-0.38366583,-0.3881,56.064,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.374689647,1,56.064
C#CCO/N=C1\CC2CCC1(C)C2(C)C,2.166,"(z)-1,7,7-trimethyl-n-prop-2-ynoxybicyclo[2.2.1]heptan-2-imine",336.9353408,5.50905955,4.834843755,4.834843755,3.213959801,3.213959801,15,186.149,1.291859151,0.176629326,0.176629326,0.228437736,-0.382754296,2.8384,205.301,2,0,2,2,5.711685003,0.0,40.03367647,1.816139338,0.0,0.385721033,1,205.30099999999996
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,1.751,"prop-2-ynyl (2e,4e)-3,7,11-trimethyldodeca-2,4-dienoate",369.3696859,5.76818279,3.040875418,3.040875418,1.867121782,1.867121782,20,248.196,11.59198556,0.331474169,0.331474169,-0.379553826,-0.449346692,4.5178,276.42,2,0,2,0,5.969305288,0.0,53.37823529,0.890186891,0.0,0.267785145,1,276.41999999999996
C#CCOC(=O)CCCCC(=O)OCC#C,3.046,bis(prop-2-ynyl) hexanedioate,273.9609,2.936722277,1.64478119,1.64478119,0.927333673,0.927333673,16,208.128,8.649105765,0.306242999,0.306242999,-0.351905366,-0.452497954,0.8996,222.24,4,0,4,0,11.93861058,0.0,25.68328649,0.0,0.0,0.364633554,1,222.23999999999995
C#CCOC(C)=O,2.594,prop-2-ynyl acetate,99.13800679,0.984380904,0.358765249,0.358765249,0.143298233,0.143298233,7,92.053,5.03,0.3030882,0.3030882,-0.335231481,-0.452700647,0.1827,98.101,2,0,2,0,5.969305288,0.0,6.9237372,0.0,0.0,0.34525444,1,98.10099999999998
C#CCOCC#C,2.242,3-prop-2-ynoxyprop-1-yne,88.32887731,0.90104757,0.370790812,0.370790812,0.168882167,0.168882167,7,88.065,5.08,0.108258926,0.108258926,0.309722222,-0.356140842,0.2694,94.113,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.352287173,1,94.11299999999999
C#CCOP(=O)(OCC(C)C)c1ccccc1,2.624,[2-methylpropoxy(prop-2-ynoxy)phosphoryl]benzene,420.0407572,6.027923066,1.96809131,3.856695794,1.166351637,2.815199295,17,235.114,4.358845346,0.361768228,0.304914253,-3.284614198,-0.304914253,2.8274,252.25,3,0,4,1,12.90030222,7.595762327,13.8474744,0.0,-3.284614198,0.576576903,1,252.25
C#CCOP(=O)(OCCC)c1ccccc1,2.818,[propoxy(prop-2-ynoxy)phosphoryl]benzene,394.4749418,5.171533695,1.855633616,3.777741087,1.130620815,2.708006831,16,223.103,3.50002626,0.361758499,0.305196096,-3.247253086,-0.305196096,2.5814,238.223,3,0,4,1,12.90030222,7.595762327,13.34455882,0.0,-3.247253086,0.564109356,1,238.22299999999998
C#CCOS(=O)OC(CC)COc1ccc(C(C)(C)CC)cc1,2.228,1-[4-(2-methylbutan-2-yl)phenoxy]butan-2-yl prop-2-ynyl sulfite,530.9477216,6.706137928,3.864042607,4.603644194,1.830333262,2.464015786,23,312.261,6.737695147,0.305464846,0.305464846,-1.846952417,-0.490837854,3.7767,338.469,4,0,5,1,11.36131649,0.0,46.10004354,1.428897044,0.0,0.609166484,1,338.46900000000005
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374,[2-(4-tert-butylphenoxy)cyclohexyl] prop-2-ynyl sulfite,582.8697304,7.85665163,4.090403656,4.80503359,2.726844913,3.368653235,24,324.272,5.62490516,0.305476148,0.305476148,-1.834093907,-0.487674164,3.9192,350.48,4,0,5,2,11.36131649,0.0,52.01794958,1.370724843,0.0,0.729617468,1,350.4800000000001
C#CCOc1ccc(N)cc1C(=O)NCCCC,2.455,5-amino-n-butyl-2-prop-2-ynoxybenzamide,449.5974805,3.857850316,2.375137927,2.375137927,1.444246026,1.444246026,18,228.166,4.020492553,0.254624379,0.254624379,-0.191878307,-0.480118754,1.8107,246.31,3,2,4,1,11.594566,0.0,30.12336912,6.608138569,0.0,0.456879897,1,246.30999999999995
C#CCOc1cccc(OC(=O)NC)c1,3.136,(3-prop-2-ynoxyphenyl) n-methylcarbamate,381.6645783,2.607177675,1.542342502,1.542342502,0.91055805,0.91055805,15,194.125,3.608397477,0.41184054,0.41184054,-0.523981613,-0.480821512,1.4168,205.213,3,1,4,1,6.093240071,0.0,0.0,0.0,1.487129505,0.758919713,1,205.21299999999997
C#CCOc1ccccc1OC(=O)NC,3.534,(2-prop-2-ynoxyphenyl) n-methylcarbamate,381.6645783,2.579053884,1.566944445,1.566944445,0.924045438,0.924045438,15,194.125,3.235698907,0.411971491,0.411971491,-0.549298469,-0.477038421,1.4168,205.213,3,1,4,1,6.093240071,0.0,0.0,0.0,1.479407045,0.758919713,1,205.21299999999997
C#CCSP(=O)(NC(=O)CC)OC,2.646,n-[methoxy(prop-2-ynylsulfanyl)phosphoryl]propanamide,260.9534945,6.393448309,1.140945715,4.908735695,0.484653548,3.002773876,13,209.122,4.991581092,0.353387066,0.309062366,-3.114791667,-0.309062366,1.6335,221.218,4,1,6,0,24.01032332,18.1031436,13.34455882,0.0,1.278010834,0.56598551,1,221.21799999999996
C#CCSP(=O)(OCC)OCC,4.063,3-diethoxyphosphorylsulfanylprop-1-yne,189.3183943,5.834260362,0.880423595,4.609707948,0.544355906,3.410685292,12,195.115,4.841367185,0.389526253,0.30101389,-2.961689815,-0.30101389,2.5339,208.219,4,0,5,0,18.17935229,18.17935229,13.8474744,0.0,0.0,0.496046534,1,208.21899999999997
C#CCc1cc(COC(=O)C2C(C=C(C)C)C2(C)C)c(C)o1,1.332,"(2-methyl-5-prop-2-ynylfuran-3-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",636.12784,6.851587142,4.395346499,4.395346499,2.955315363,2.955315363,22,276.206,3.271304206,0.309958147,0.309958147,-0.132777909,-0.46493778,4.04532,300.398,3,0,3,2,5.969305288,0.0,44.77889513,2.099839219,0.0,0.467760484,1,300.398
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1.457,"(5-prop-2-ynylfuran-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",594.2247804,6.425471125,4.027795772,4.027795772,2.725571993,2.725571993,21,264.195,3.387278107,0.310068474,0.310068474,-0.155185316,-0.461426377,3.7369,286.371,3,0,3,2,5.969305288,0.0,39.21544364,1.2082613,0.0,0.470094082,1,286.371
C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,2.49,"(13s,17r)-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthrene-3,17-diol",658.1613573,7.798061397,7.100474364,7.100474364,5.821907213,5.821907213,22,272.218,1.664422092,0.130335878,0.130335878,-0.918779946,-0.507956032,3.6126,296.41,2,2,2,4,0.0,0.0,56.07265434,1.69182953,0.0,0.718001836,1,296.4100000000001
C(=N/C(/N=C/c1ccco1)c1ccco1)\c1ccco1,2.827,1-(furan-2-yl)-n-[furan-2-yl-(furan-2-ylmethylideneamino)methyl]methanimine,620.6236186,3.976268962,2.569985749,2.569985749,1.641163166,1.641163166,20,256.176,2.947488734,0.196758011,0.196758011,-0.472037037,-0.464985285,3.7024,268.272,5,0,5,3,12.42920116,0.0,23.44651787,0.0,0.0,0.66251793,1,268.272
C(=N/C1CCCCC1)\c1ccccc1,1.784,n-cyclohexyl-1-phenylmethanimine,283.3636895,3.980688193,2.808693271,2.808693271,1.960690683,1.960690683,14,170.15,2.692470147,0.049941263,0.049941263,0.58699641,-0.289245773,3.4382,187.286,1,0,1,2,6.21460058,0.0,37.66755961,1.220438398,0.0,0.628844682,1,187.28600000000003
C(=N/CCCCCC/N=C/c1ccco1)\c1ccco1,2.745,1-(furan-2-yl)-n-[6-(furan-2-ylmethylideneamino)hexyl]methanimine,450.3339691,4.515613574,2.847847369,2.847847369,1.798218664,1.798218664,20,252.188,5.693390429,0.143900991,0.143900991,0.81691052,-0.463399761,3.971,272.348,4,0,4,2,12.42920116,0.0,37.20378133,0.0,0.0,0.511991579,1,272.34800000000007
C(=N/c1ccc(/N=C/c2ccco2)cc1)\c1ccco1,2.336,1-(furan-2-yl)-n-[4-(furan-2-ylmethylideneamino)phenyl]methanimine,630.2919368,4.063634713,2.617797613,2.617797613,1.630516408,1.630516408,20,252.188,3.112733989,0.144373859,0.144373859,0.726774734,-0.463382511,4.3738,264.284,4,0,4,3,23.80397371,0.0,11.52049484,1.691386317,0.0,0.656656542,1,264.28400000000005
C(=N/c1ccccc1)\Nc1ccccc1,2.013,"n,n'-diphenylmethanimidamide",420.8036454,3.10411102,1.974819979,1.974819979,1.229784358,1.229784358,15,184.157,2.950642207,0.092985854,0.092985854,0.945306595,-0.346361222,3.4585,196.253,1,1,2,2,17.71330791,0.0,0.0,1.98436319,0.0,0.589688233,1,196.253
C(=NC1CCCCC1)=NC1CCCCC1,2.712,none,206.9205079,4.941866784,3.630009367,3.630009367,2.616908975,2.616908975,15,184.157,3.790750804,0.089785088,0.089785088,0.533417186,-0.222288279,3.8257,206.333,2,0,2,2,6.008379536,0.0,64.20821623,0.0,0.0,0.613480503,1,206.33299999999997
C(CC1CO1)OCCC1CO1,2.138,2-[2-[2-(oxiran-2-yl)ethoxy]ethyl]oxirane,104.5055782,3.100406307,1.9730658,1.9730658,1.001036548,1.001036548,11,144.085,3.184420766,0.08314158,0.08314158,0.506643519,-0.381245567,0.5808,158.197,3,0,3,2,0.0,0.0,12.84164325,0.0,0.0,0.418658962,1,158.19699999999997
C(CCC1CO1)CC1CO1,2.125,2-[4-(oxiran-2-yl)butyl]oxirane,91.82521877,3.195140653,2.106936695,2.106936695,1.213433033,1.213433033,10,128.086,2.27202101,0.080951961,0.080951961,0.625112434,-0.373130667,1.3444,142.198,2,0,2,2,0.0,0.0,25.68328649,0.0,0.0,0.427280861,1,142.198
