SMILES,pLD50,source
Brc1ccc(CNC2=NCCS2)cc1,3.530172474,TOXRIC
Brc1ccc(NC(=NC2CCCCC2)c2ccccc2)cc1,2.251996943,TOXRIC
Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,4.069117903458309,"Hillary,TDC,TOXRIC,USA data.gov"
Brc1ccccc1,1.8188032711253843,"Hillary,TDC,TOXRIC,USA data.gov"
Brc1cnc[nH]1,2.76930346,TOXRIC
Brc1nc(Br)c(Br)[nH]1,3.952489023,"Hillary,TOXRIC,USA data.gov"
Brc1nc[nH]c1Br,2.65489047,TOXRIC
C,0.017764863,TOXRIC
C#CC(=O)/C=C/C,3.1221956344999997,"Hillary,TOXRIC"
C#CC(=O)C=CC,3.1221956343695663,"TDC,USA data.gov"
C#CC(=O)O,2.845389539888096,"Hillary,TOXRIC,USA data.gov"
C#CC(C)(C)N,1.752230671,"Hillary,TDC,TOXRIC,USA data.gov"
C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,2.726,Hillary
C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,2.7260805967476545,"TDC,TOXRIC,USA data.gov"
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.883209517,"Hillary,TOXRIC"
C#CC(C)(C)O,1.635,"Hillary,TDC,TOXRIC,USA data.gov"
C#CC(C)(CC)OC(=O)CCC(=O)O,1.935415254,TOXRIC
C#CC(C)(CCC=C(C)C)OC(C)=O,1.305329909,"Hillary,TOXRIC,USA data.gov"
C#CC(C)(O)C(O)c1ccccc1,2.3828600070514425,"Hillary,TDC,TOXRIC,USA data.gov"
C#CC(C)N(C(=O)CCl)c1ccccc1,2.277554365,"Hillary,TOXRIC,USA data.gov"
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.12110634164192,"Hillary,TOXRIC,USA data.gov"
C#CC(C)OC(=O)Nc1cccc(Cl)c1,1.9730047108698208,"Hillary,TDC,TOXRIC,USA data.gov"
C#CC(O)/C=C/C,3.451,Hillary
C#CC(O)C=CC,3.4511877535,"TDC,TOXRIC"
C#CC(O)CCC,2.891248817,"Hillary,TDC,TOXRIC,USA data.gov"
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,2.213,Hillary
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,2.21308115604303,"TOXRIC,USA data.gov"
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,1.795,"Hillary,TOXRIC,USA data.gov"
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1.297777242,TOXRIC
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,2.489621618,TOXRIC
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.491973478,TOXRIC
C#CC1(O)CCCCC1,2.323,"Hillary,TDC"
C#CC1(OC(C)=O)CCCCC1C(C)CC,2.51424262425353,"Hillary,TDC,TOXRIC,USA data.gov"
C#CC1(OC(N)=O)CCCCC1,2.703429058,"Hillary,TOXRIC,USA data.gov"
C#CCBr,3.3510643685,"Hillary,TOXRIC"
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.815,"TDC,TOXRIC,USA data.gov"
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,2.815,Hillary
C#CCCC#CC#CCCCCO,2.843215331,"Hillary,TOXRIC,USA data.gov"
C#CCCCC#C,1.60272508529309,"Hillary,TOXRIC,USA data.gov"
C#CCCl,2.6547306191836797,USA data.gov
C#CCN,1.8965,"Hillary,TDC"
C#CCN(C(C)=O)C(=O)Oc1cccc2c1OC(C)(C)O2,2.461328918,TOXRIC
C#CCN(C)C(C)Cc1ccccc1,2.687044585,TOXRIC
C#CCN(C)C(C)Cc1ccccc1.Cl,2.764296491497638,USA data.gov
C#CCN(C)C1CCc2ccccc21,2.8699325465000003,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,3.112628937,TOXRIC
C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl,3.167227287036909,USA data.gov
C#CCN(C)Cc1ccccc1,2.744749859,"Hillary,TOXRIC"
C#CCN(C)Cc1ccccc1.Cl,2.8936352824139417,USA data.gov
C#CCN(C)c1ccccc1OC(=O)NC,3.5609074705985257,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCN(CC)CC,1.955,Hillary
C#CCN1C(=O)CCc2c(OCCCN3CCC(Cc4ccccc4)CC3)cccc21,2.619682778,TOXRIC
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.724891964,"Hillary,TOXRIC"
C#CCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2.5618610072154664,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,2.185194356361021,USA data.gov
C#CCN1CCC2=C(C1)c1c(O)cc(C(C)C(C)CCCCC)cc1OC2(C)C,2.6429997509999996,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCN1CCC2=C(C1)c1c(OC(=O)CCCN3CCCCC3)cc(C(C)C(C)CCCCC)cc1OC2(C)C,3.625480247,TOXRIC
C#CCNC(=O)Oc1cccc2c1OC(C)(C)O2,3.420008447,TOXRIC
C#CCO,3.447827042,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCO/N=C1\CC2CCC1(C)C2(C)C,2.166,Hillary
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,1.751,Hillary
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,2.4001122792033143,USA data.gov
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.7513733826078095,"TDC,TOXRIC,USA data.gov"
C#CCOC(=O)CCCCC(=O)OCC#C,3.0458961165,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCOC(=O)Nc1nc(N2CC=CCC2)cc2nc(=O)on12,1.799738815,TOXRIC
C#CCOC(C)=O,2.593733426,"Hillary,TOXRIC,USA data.gov"
C#CCOCC#C,2.242,"Hillary,TDC,TOXRIC"
C#CCON=C1CC2CCC1(C)C2(C)C,2.1661315145,"TDC,TOXRIC"
C#CCON=CC1=CCCN(C)C1,2.949962995,TOXRIC
C#CCON=CC1=CCCNC1,3.312304325,TOXRIC
C#CCON=CC1=CCCNC1.Cl,3.3993902994526946,USA data.gov
C#CCOP(=O)(OCC(C)C)c1ccccc1,2.6238399625,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCOP(=O)(OCCC)c1ccccc1,2.8182751189850004,"Hillary,TOXRIC,USA data.gov"
C#CCOS(=O)OC(CC)COc1ccc(C(C)(C)CC)cc1,2.2282444513145485,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,4.915805971801395,USA data.gov
C#CCOc1ccc(N)cc1C(=O)NCCCC,2.455,"Hillary,TDC,TOXRIC"
C#CCOc1cccc(OC(=O)NC)c1,3.136,"Hillary,TDC,TOXRIC"
C#CCOc1ccccc1OC(=O)NC,3.5340536189676004,"Hillary,TOXRIC,USA data.gov"
C#CCSP(=O)(NC(=O)CC)OC,2.64592522863889,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCSP(=O)(OCC)OCC,4.063,"Hillary,TDC,TOXRIC"
C#CCc1cc(COC(=O)C2C(C=C(C)C)C2(C)C)c(C)o1,1.3317845006014881,"Hillary,TDC,TOXRIC,USA data.gov"
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1.4569645180300934,"Hillary,TDC,TOXRIC,USA data.gov"
C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,2.49,Hillary
C(=CNc1ccccc1)C=Nc1ccccc1.Cl,2.3598052718341416,USA data.gov
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1.75355242,TOXRIC
C(=N/C(/N=C/c1ccco1)c1ccco1)\c1ccco1,2.827,Hillary
C(=N/C1CCCCC1)\c1ccccc1,1.784,Hillary
C(=N/CCCCCC/N=C/c1ccco1)\c1ccco1,2.745,Hillary
C(=N/c1ccc(/N=C/c2ccco2)cc1)\c1ccco1,2.336,Hillary
C(=N/c1ccccc1)\Nc1ccccc1,2.013,Hillary
C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,2.826757678,"TDC,TOXRIC"
C(=NC1CCCCC1)=NC1CCCCC1,2.712,"Hillary,TDC,TOXRIC"
C(=NC1CCCCC1)c1ccccc1,1.783954598,"TDC,TOXRIC,USA data.gov"
C(=NCCCCCCN=Cc1ccco1)c1ccco1,2.744964055,"TDC,TOXRIC"
C(=Nc1ccc(N=Cc2ccco2)cc1)c1ccco1,2.335711041,"TDC,TOXRIC,USA data.gov"
C(=Nc1ccccc1)Nc1ccccc1,2.013377515988033,"TOXRIC,USA data.gov"
C(C/C=N/c1ccccc1)=Nc1ccccc1,2.293843436,TOXRIC
C(CC1CO1)OCCC1CO1,2.154,"Hillary,TDC"
C(CCC1CO1)CC1CO1,2.125,Hillary
C(CCOCC1CO1)COCC1CO1,2.251137737863711,"Hillary,TDC,TOXRIC,USA data.gov"
C(COCC1CO1)OCC1CO1,1.795,"Hillary,TDC"
C(OCC1CO1)C1CO1,2.461,"Hillary,TOXRIC,USA data.gov"
C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,2.2479187095000004,"Hillary,TDC,TOXRIC,USA data.gov"
C.C.CCCCCCCCCCCC.CCCCCCCCCCCC.C[N+](C)(C)C.C[N+](C)(C)Cc1ccccc1.C[N+](C)(C)Cc1ccccc1.[Cl-].[Cl-].[Cl-],3.341387219606525,USA data.gov
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,2.258,Hillary
C/C(=C/CCC1(C)C2CC3C(C2)C31C)CO,1.763,Hillary
C/C(=C/c1ccccc1)CC(=O)N(CCO)CCO,2.244,Hillary
C/C(=C/c1ccccc1)CC(=O)NC1CCCCC1,1.933,Hillary
C/C(=C/c1ccccc1)CC(=O)NCCO,2.203,Hillary
C/C(=C/c1ccccc1)CN/N=C(/C)C(=O)O,2.533508514,TOXRIC
C/C(=C/c1ccccc1)CO,1.778,Hillary
C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,1.608,Hillary
C/C(=C\C(=O)O)C(=O)O,1.994,Hillary
C/C(=C\C(=O)O)C1CCCCC1,1.764,Hillary
C/C(=C\C(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,2.001,Hillary
C/C(=C\C(=O)c1ccccc1)c1ccccc1,1.791,Hillary
C/C(=C\C(O)(C(F)(F)F)C(F)(F)F)CC(O)(C(F)(F)F)C(F)(F)F,4.334,Hillary
C/C(=C\c1ccccc1)CC(=O)N1CCOCC1,2.39,Hillary
C/C(=C\c1ccccc1)CN/N=C(\C)C(=O)O,2.533,Hillary
C/C(=N/Nc1nc(C)cc(C)n1)c1ccccc1C,2.6851251205,"Hillary,TOXRIC"
C/C(=N/OC(=O)N(C)SSN(C)C(=O)O/N=C(/C)SCCC#N)SCCC#N,3.764,Hillary
C/C(=N\NC(=O)c1ccncc1)c1ccco1,3.319,Hillary
C/C(=N\NCCC1CCCCC1)C(=O)O,2.611,Hillary
C/C(=N\O)C(=O)c1ccccc1,1.585,Hillary
C/C(=N\O)C(C)(O)C#Cc1ccccc1,1.813,Hillary
C/C(=N\c1c(I)cc(I)c(C(=O)NCC(C)C(=O)O)c1I)N1CCOCC1,1.7586606855,"Hillary,TOXRIC"
C/C(C=O)=C/c1ccccc1,1.853,Hillary
C/C(C=O)=C/c1ccco1,1.988,Hillary
C/C(CC(=O)OC(C)(C)C)=N\Nc1ccc(N2CCOCC2)nn1,2.5389008415000003,"Hillary,TOXRIC"
C/C(Cl)=C/C(=O)Nc1ccc(O)cc1,2.127,Hillary
C/C(Cl)=C\Cl,1.744,Hillary
C/C=C(/C(=O)NC(N)=O)C(C)C,1.277,Hillary
C/C=C(/C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,3.133,Hillary
C/C=C(/C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@](O)([C@H](C)OC)C(C)(C)O)C12,3.573,Hillary
C/C=C(/C=O)CC,1.642,Hillary
C/C=C(/CC)C(=O)NC(N)=O,1.796,Hillary
C/C=C(C)\C=C\C=C(C)C,1.856,Hillary
C/C=C(\C)C(=O)N1CCCc2cc(C)ccc21,2.018,Hillary
C/C=C(\CC)C(=O)NC(N)=O,1.796,Hillary
C/C=C/C#N,2.3655,Hillary
C/C=C/C(=O)C1=C(C)CCCC1(C)C,1.818800475,"Hillary,TOXRIC"
C/C=C/C(=O)N(CC)c1ccccc1C,2.132,Hillary
C/C=C/C(=O)O,1.935,Hillary
C/C=C/C(=O)OC(/C=C/C)OC(=O)/C=C/C,1.937,Hillary
C/C=C/C(=O)OCC,1.58,Hillary
C/C=C/C(C)=O,1.42,Hillary
C/C=C/C(C)C1(CC)C(=O)NC(=O)NC1=O,4.05,Hillary
C/C=C/C(C)OC,1.918,Hillary
C/C=C/C(N)=O,1.478,Hillary
C/C=C/C=C/C#N,2.117,Hillary
C/C=C/C=C/C(=O)NO,1.713,Hillary
C/C=C/C=C/C(=O)O,1.183,Hillary
C/C=C/C=C/C(C)=O,1.959,Hillary
C/C=C/C=C/C=C/C(C)=O,1.501,Hillary
C/C=C/C=C/C=O,2.506,Hillary
C/C=C/C=C/CO,1.722,Hillary
C/C=C/C=C/COC(=O)C(C)C,1.527,Hillary
C/C=C/C=C/COC(C)=O,1.535,Hillary
C/C=C/C=C/COCCC#N,1.621,Hillary
C/C=C/C=C/COCCO,1.661,Hillary
C/C=C/C=O,2.943,Hillary
C/C=C/CC(C(=O)O)c1ccc(-c2ccccc2)cc1,2.425,Hillary
C/C=C/CCCCCCCC(=O)OC,1.82,Hillary
C/C=C/CO,1.959,Hillary
C/C=C/CO/C=C/C,1.251,Hillary
C/C=C/COC(CC)OC/C=C/C,2.031,Hillary
C/C=C/COCN(C(=O)CCl)c1c(CC)cccc1CC,2.279,Hillary
C/C=C/C[C@@H](C)[C@@H](O)C1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,2.91,Hillary
C/C=C/Cl,1.594,Hillary
C/C=C/OCC,1.376,Hillary
C/C=C/c1ccc(O)c(OC)c1,2.022,Hillary
C/C=C/c1ccc(OC(=O)NC)c(OC)c1,2.646,Hillary
C/C=C/c1ccc(OC(C)=O)c(OC)c1,1.777,Hillary
C/C=C/c1ccc(OC)c(OC)c1,1.853,Hillary
C/C=C/c1ccc(OC)cc1,1.851,Hillary
C/C=C/c1ccc(OCC)c(O)c1,1.871,Hillary
C/C=C/c1ccc(OCc2ccccc2)c(OC)c1,1.715,Hillary
C/C=C/c1ccc(OP(=S)(OC)OC)c(OC)c1,3.062,Hillary
C/C=C/c1ccc2c(c1)OCO2,2.083,Hillary
C/C=C/c1ccccc1,1.516,Hillary
C/C=C1/CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,2.037,Hillary
C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)C23,3.596,Hillary
C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)C23,4.014,Hillary
C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)C23,3.884,Hillary
C/C=C1\C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,4.208,Hillary
C/C=C1\CC2C=CC1C2,1.677,Hillary
C/C=C\C(=O)OC(=O)/C=C\C,1.736,Hillary
C/C=C\C(C)=O,1.41973896,TOXRIC
C/C=C\c1ccc(OC)cc1,2.423,Hillary
C/C=N/N(C)C=O,2.4951876,"Hillary,TOXRIC"
C/N=C(/NC#N)NCCSCc1[nH]cnc1C,1.703,Hillary
C/N=C/Nc1ccc(Cl)cc1C,2.84,Hillary
C/N=N/Nc1ccc(C)cc1,2.592974559,"Hillary,TOXRIC"
C/N=N/Nc1ccc(Cl)cc1,2.713,Hillary
C/N=N/Nc1ccc([N+](=O)[O-])cc1,2.586,Hillary
C/N=c1/oc2ccccc2n1C,2.21,Hillary
C/[N+]([O-])=N/COC1OC(CO)C(O)C(O)C1O,2.97,Hillary
C1=C/CC/C=C/CC/C=C/CC/1,1.96,Hillary
C1=C2CCCNC2C2CC1C1CCCCN1C2,2.685,"Hillary,TDC,TOXRIC"
C1=CC(C2OCC3(CC=CCC3)CO2)CCC1,1.654677214,TOXRIC
C1=CC(OC2C=CCC2)CC1,2.282,Hillary
C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,1.134220835,TOXRIC
C1=CC2C3C=CC(C3)C2C1,2.573,"Hillary,TOXRIC,USA data.gov"
C1=CC2C3CCC(C3)C2C1,2.3017489031137672,USA data.gov
C1=CC2CCC1C2,0.921,"Hillary,TDC,TOXRIC"
C1=CC=CCC=C1,3.208789033,"Hillary,TDC,TOXRIC,USA data.gov"
C1=CCC(C2CC3C=CC2C3)CC1,1.634,"Hillary,TDC"
C1=CCC(C2OCC3(CC=CCC3)CO2)CC1,1.655,"Hillary,TDC,USA data.gov"
C1=CCC(c2ccccc2)CC1,1.898297257,TOXRIC
C1=CCC2CC=CC2C1,1.54,Hillary
C1=CCC=C1,2.767071363,"Hillary,TDC,TOXRIC,USA data.gov"
C1=CCCC1,1.616,Hillary
C1=CCCC=CCCC=CCC1,1.861576123342215,"TOXRIC,USA data.gov"
C1=CCCCC1,1.6252217924548464,"Hillary,USA data.gov"
C1=Cc2cccc(OCC3CNCCO3)c2C1,2.663462527,TOXRIC
C1=Cc2cccc(OCC3CNCCO3)c2C1.Cl,2.727035494339063,USA data.gov
C1=Cc2ccccc2CC1,1.664,"Hillary,TDC"
C1=Nc2ccccc2Oc2ccccc21,2.540009069,"Hillary,TDC,TOXRIC,USA data.gov"
C1C2CC3CC1CC(C2)C3,1.134298259,TOXRIC
C1C2CC3OC3C2CC2OC12,1.8265,"Hillary,TDC"
C1C2OC2C2C1C1CC2C2OC12,2.893082219,"Hillary,TOXRIC"
C1CC(C2CO2)OCC1C1CO1,2.009,"Hillary,TDC"
C1CC2C3CCC(C3)C2C1,0.86014041,TOXRIC
C1CC2CC1C1SSSC21,2.8022249392538363,"Hillary,TDC,TOXRIC,USA data.gov"
C1CC2CC1CC2CNCC1CC2CCC1C2,2.218939939,"Hillary,TOXRIC"
C1CC2OC2C1OC1CCC2OC12,1.861,Hillary
C1CC2OC2CC1C1CO1,1.7873046160000001,"Hillary,TDC,TOXRIC,USA data.gov"
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)C=CC(=O)O,2.2625813199138527,USA data.gov
C1CCC(CNC2=NCCS2)CC1,3.598214678,"Hillary,TDC,TOXRIC,USA data.gov"
C1CCC(N2CCOCC2)CC1,2.978,"Hillary,TDC,TOXRIC"
C1CCC(NC2CCCCC2)CC1,2.687,"Hillary,TOXRIC,USA data.gov"
C1CCC(NC2CCCCC2)CC1.CCCCCC(=O)O,2.0618424465647216,USA data.gov
C1CCC(OC2CCCC2)C1,2.548,Hillary
C1CCC2CCCCC2C1,1.520770825,"Hillary,TDC,TOXRIC,USA data.gov"
C1CCC2OC2C1,1.9609999999999999,"Hillary,TDC"
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,3.3258079705231776,"Hillary,TDC,TOXRIC,USA data.gov"
C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1,3.788,"Hillary,TDC,TOXRIC"
C1CCCC1,0.7890149749946469,"Hillary,TDC,TOXRIC,USA data.gov"
C1CCCCC1,0.8210706889935014,"Hillary,TDC,TOXRIC,USA data.gov"
C1CCCNCC1,3.6804406217452894,"Hillary,TOXRIC,USA data.gov"
C1CCN2CC3CC(CN4CCCCC34)C2C1,2.38766228717024,"TOXRIC,USA data.gov"
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,2.388,Hillary
C1CCNC1,2.3748888123646434,"Hillary,TOXRIC,USA data.gov"
C1CCNCC1,2.3281246609706576,"Hillary,TOXRIC,USA data.gov"
C1CCNCC1.Cl,2.961121218700208,USA data.gov
C1CCOC1,1.6404934829716404,"Hillary,TOXRIC,USA data.gov"
C1CCSC1,1.702,"Hillary,TDC,TOXRIC"
C1CCc2c(OCCN3CCOCC3)n[nH]c2C1,2.196,"Hillary,TDC"
C1CCc2c(n[nH]c2OCCN2CCOCC2)C1,2.196124349,TOXRIC
C1CCc2nnnn2CC1,2.994149147,"Hillary,TDC,TOXRIC,USA data.gov"
C1CN(SSN2CCOCC2)CCO1,1.74,"Hillary,TDC,TOXRIC,USA data.gov"
C1CN(SSSSN2CCOCC2)CCO1,1.7967987289999998,"Hillary,TDC,TOXRIC,USA data.gov"
C1CN1,3.4580367645,"Hillary,TDC,TOXRIC,USA data.gov"
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.596915756612355,"Hillary,TDC,TOXRIC,USA data.gov"
C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.196191070131933,"Hillary,TDC,TOXRIC,USA data.gov"
C1CN2CCC1CC2,3.1362509445,"Hillary,TOXRIC"
C1CN2CCN1CC2,1.819,"Hillary,TDC,TOXRIC"
C1CNCCN1,1.592369052765675,"Hillary,TDC,TOXRIC,USA data.gov"
C1CNCCNC1,1.54896478,"Hillary,TDC,TOXRIC,USA data.gov"
C1CO1,2.7868214965,"Hillary,TDC,TOXRIC,USA data.gov"
C1COC(NC(C2CC2)C2CC2)=N1,2.786055667,TOXRIC
C1COC(OCC2CO2)C(OCC2CO2)O1,2.337,"Hillary,TDC,TOXRIC"
C1COCCN1,1.7681919221086293,"Hillary,TDC,TOXRIC,USA data.gov"
C1COCCO1,1.3218780971918824,"Hillary,TDC,TOXRIC,USA data.gov"
C1COCCOCCNCCOCCOCCN1,1.887,"Hillary,TDC,TOXRIC"
C1COCCOCCOCCO1,1.7941245224606783,"Hillary,TDC,TOXRIC,USA data.gov"
C1COCCOCCOCCOCCO1,2.1938631905,"Hillary,TDC,TOXRIC,USA data.gov"
C1COCCOCCOCCOCCOCCO1,2.7019674360476857,"Hillary,TDC,TOXRIC,USA data.gov"
C1COCO1,1.392786928,"Hillary,TDC,TOXRIC,USA data.gov"
C1CS1,2.5288030966698383,"Hillary,TDC,TOXRIC,USA data.gov"
C1CSCCO1,1.5659864524999998,"Hillary,TDC,TOXRIC,USA data.gov"
C1CSCCS1,1.638,"Hillary,TDC,TOXRIC"
C1C[NH][Cu+2]2([NH]1)[NH]CC[NH]2,2.379520647,TOXRIC
C1C[SiH2]C1,1.671,"Hillary,TDC,TOXRIC"
C1C[Si]C1,1.658894288772329,USA data.gov
C1N2CN3CN1CN(C2)C3,1.1829292083984204,USA data.gov
C1NNCN2CNNCN12,2.5600602695,"Hillary,TOXRIC"
C1OC1C1CO1,2.8277957591056584,"Hillary,TOXRIC,USA data.gov"
C1OC1CSCC1CO1,3.6599150345640723,"Hillary,TDC,TOXRIC,USA data.gov"
C1OCC(COCC2COCO2)O1,1.5677802787172466,"Hillary,TDC,TOXRIC,USA data.gov"
C=C(C#N)C(=O)OC,1.8417970381424715,"Hillary,TDC,TOXRIC,USA data.gov"
C=C(C#N)C(=O)OCC,1.3983810278658186,USA data.gov
C=C(C#N)CCO,2.399,"Hillary,TDC"
C=C(C#N)OC(C)=O,3.045714059,"Hillary,TOXRIC,USA data.gov"
C=C(C)/C=N/OC(=O)NC,3.116,Hillary
C=C(C)C#N,2.7472415095000002,"Hillary,TDC,TOXRIC,USA data.gov"
C=C(C)C(=O)CC,2.3698270781938744,"Hillary,TDC,TOXRIC,USA data.gov"
C=C(C)C(=O)NCO,2.6109734705000003,"Hillary,TDC,TOXRIC,USA data.gov"
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.1068163945,"Hillary,TDC,TOXRIC,USA data.gov"
