SMILES,rat_oral_LD50
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,2.314975551
N=C(N)NCCN1CCCCCCC1,2.276164075
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.853301705
O=C(c1ccc(Cl)c(Cl)c1)c1ccccc1-c1ncc[nH]1,2.899238957
O=C(O)c1cc2ccccc2oc1=O,2.97807547
Cc1cc2c(cc1C)C(=O)c1n[nH]nc1C2=O,2.365226214
CCOc1ccccc1C(=O)N/N=C(\C)C(=O)O,2.693373069
COc1ccc(O)c(C(C)(C)C)c1C(O)c1ncc([N+](=O)[O-])n1C,1.693002348
CCCCC(CC)COC(=O)CS[Sn](C)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,2.907625721
CCC(CC)Nc1nnc(-c2ccccc2)c2ccccc12,1.56139658
CCC(C)N(C(=O)c1c(Cl)cccc1Cl)C(C)CC,2.318991123
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C(F)(F)F,2.511084124
CN1C(=O)COc2cc(C(=O)C=Cc3ccc(O)cc3)ccc21,2.18937941
O=C=Nc1ccc(Cl)cc1,3.046421642
Cn1cc(CCc2cc[n+](CCC[N+](C)(C)C)cc2)c2ccccc21,3.227257936
COc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(O)cc1,2.520372161
O=c1ccc2cc(CCCCN3CCN(c4ccccc4)CC3)ccc2[nH]1,2.859125082
CC12CCC3c4ccc(OC(=O)N(CCCl)CCCl)cc4CCC3C1CCC2OP(=O)(O)O,1.983935183
CC1=CC(C)(C)Nc2ccc(Cc3ccc4c(c3)C(C)=CC(C)(C)N4)cc21,1.855554285
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1.554364972
Cc1cc([N+]#N)ccc1N1CCCC1,3.340245762
CN(C(=O)CF)c1cccc2ccccc12,3.510870989
CC(C)(C)C(O)=C1C(=O)c2ccccc2C1=O,2.915066127
CC(=O)Nc1ccccc1O,1.949002327
CSC(C)=NOC(=O)N(C)SN(C1CCCCC1)P1(=S)OCC(C)(C)CO1,1.755501354
CN1CCN(C(=O)N/N=C/c2ccc([N+](=O)[O-])o2)CC1,2.574065238
O=[N+]([O-])OCC1CO1,2.413066406
Cc1c(Cl)c(Br)c(Cl)c2[nH]c(C(F)(F)F)nc12,4.280014819
CCSc1nnc(C(C)(C)C)c(=O)n1N,2.581119036
O=S(=O)(F)C1CCC(S(=O)(=O)F)C1,4.472043238
CCOc1ccc(N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2)cc1,2.257468575
CCC(C)(O)CCc1ccccc1,1.781268429
CCCc1[nH]c2ncnn2c(=O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,3.138257424
CCCc1nc(NC(=N)N)oc1CCC,2.021770038
CCN(N=O)C(C)(C)C,1.91046098
O=C(O)CO,1.310152823
CCc1cc(C(N)=S)ccn1,2.10018511
O=C(CCl)OC1=C(OC(=O)CCl)C(=O)OC1=O,1.849755601
CC(C)=CCC(C#N)(CCN(C)C)Cc1cccc2ccccc12,2.602710945
C=CC(=O)OCCC#N,2.842078527
CCOC(=S)SSSSC(=S)OCC,3.04716296
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,2.787330976
CC(=O)C1=CCC2C3(C)CCC4C(C)(C)CCCC4(C)C3CC(OC(=O)CC(C)O)C2(C)C1C=O,9.541127064
CCCC[Sn](CCCC)(CCCC)CCCC,2.437429191
CCC(CC)C(=O)OCC(Cl)(Cl)Cl,2.439418667
Clc1ccc(C2=NCOCS2)cc1,2.630812162
CSc1nc([N-][N+]#N)nc(NC(C)C)n1,1.796422064
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1CC2,3.472406635
C[N+]([O-])(CCCl)CCCl,3.457516048
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,2.358820152
CC1N(c2ccccc2)C(=O)c2ccccc2N1C(=O)CN1CCOCC1,2.330319897
CCN(CC)CCOC(=O)Cc1ccc2c(c1)OCc1ccccc1C2=O,3.389101083
C=CS(=O)(=O)C=C,3.567309477
COc1ccc(OC)c(C=O)c1,1.715418323
C=CC=CC=C,2.581575848
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,1.912621251
CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,2.085336058
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,1.442610404
Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1,2.504306357
CN(Sc1ccccc1)C(=O)Oc1cccc2c1OC(C)(C)C2,4.119811273
Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,3.368938596
O=C(O)CCCCC1CCSS1,2.261488144
O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-],2.380515141
O=C(O)CS(=O)(=O)O,1.646800648
COCC[Hg]OC(C)=O,4.105472033
CC(C)(N=C=O)c1ccc(C(C)(C)N=C=O)cc1,1.387912801
Clc1ccc(CSC(Cn2cncn2)=Nc2ccc(Cl)cc2Cl)cc1,2.167470303
CCN(CCC(=O)OC)c1ccccc1,1.927376649
COP(=O)(OC)OCCNC(=O)C=C(C)Cl,3.865787201
CCCCCCCCOC(CBr)c1ccc(C2CCCCC2)cc1,3.199124115
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,2.770076975
FC(F)(F)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,5.000017313
CCNC1CCCCC1,2.296617915
CCCc1[nH]c2ccnn2c(=O)c1Cc1ccc(-c2ccccc2C(N)=O)cc1,3.109977676
c1cc(CC2CO2)cc(CC2CO2)c1,1.65709238
ClCCOCCOCCCl,2.874054851
COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,2.987082689
CCCOP(=S)(OC)Oc1cnn(C)c(=O)c1OC,4.75657413
Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1,2.933400662
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,2.344721309
CCCc1c(OCc2cccn3c(=O)c(CC(=O)O)cnc23)ccc(C(C)=O)c1O,2.011174874
COC1OC(CNC(=O)N(CCCl)N=O)C(O)C(O)C1O,3.848986291
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,3.45213396
O=C(OC1CN2CCC1CC2)c1ccccc1,2.966226236
Cc1ccc(=O)n(CC(=O)NC(C)Cc2ccccc2)n1,2.33479938
NCCCC(N)C(=O)O,1.121109888
Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,2.899637262
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,1.889188491
O=S(=O)(CCl)c1ccc(Br)cc1,1.731664498
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,4.619637945
CC1CCC2C(C)(C)C3CC12CCC3(C)OC=O,1.6996331
CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,2.034909361
CC(=O)OCC1=CCC23CC1C(C)(C)C2CCC3C,1.719982241
FC(F)(F)c1cccc(OCC2CNC(=S)O2)c1,2.723566896
CNC(=O)ON=C1CCCC1(C)[N+](=O)[O-],4.730800438
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.664521098
CCOP(O)(=S)CC,2.409851439
COP(=S)(OC)SCC(=O)N(C)C=O,3.012454202
CCOP(C)(=O)SCC,4.447669577
Cn1c2ccccc2c2cc(N)ccc21,2.752486829
CC(O)(CC(=O)O)c1ccc(C2CCCCC2)c(Cl)c1,2.472455117
CCOC(=O)CSP(=S)(OCC)OCC,2.393699611
Fc1ccc(Br)cc1,1.811674285
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,1.634046793
O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1,2.170840877
Cc1ccn(NC=O)n1,2.05597223
FC(F)(Cl)C(F)(Cl)Cl,0.63924319
CC(=O)OCC#N,3.490875467
CC(C)c1cccc(OC(=O)N(C)N=O)c1,2.744770054
C=CC(=O)OCCSCC,1.806825507
CC(=O)c1ccccn1,1.725349137
CCC(C(=O)NC(N)=O)c1ccccc1,1.999884201
Cc1cc(=O)nc(C(C)C)[nH]1,1.751042328
COc1ccc2c(c1)c(CC(=O)NO)c(C)n2C(=O)c1ccc(Cl)cc1,3.679390621
CN(Sc1ccc([N+](=O)[O-])cc1)C(=O)Oc1cccc2c1OC(C)(C)C2,4.17541671
C=[N+](O)C1Cc2ccc(OC)c3c2C2(C)C1C=CC(O)C2O3,2.27638999
COc1ccc2c(c1)CCN(c1ccccc1)C2c1ccccc1N,2.519080785
CC(=O)CCc1ccccc1,1.665712877
CCCCCC1Nc2cc(C(F)(F)F)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.904641985
CCCCn1c(=O)n(CCC)c(=O)c2c(NC)n(C(=O)OC)nc21,2.151542377
CC(C)(C)NCC(O)COc1ccccc1OCC1CCCO1,2.473155434
Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(C2CCCCC2)c1,2.292901494
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,2.434554198
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,2.988780397
CCN(CCO)CCO,1.46455868
CC=CC=CC(=O)NO,1.713357347
CC1=[N+](C)c2ccccc2C1(C)C,2.391795741
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1[N+](=O)[O-],2.805289716
CN1CCC2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCCCC4)ccc3N(C)C12,4.500807572
COC(=O)C[N+](=O)[O-],1.499482887
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,2.622441994
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,3.060852385
CC1CCCCCCCCCCCCC(=O)C1,1.678363571
CCCCCCCCCCCCCC(=O)Nc1ccc(Cc2ccccn2)c([N+](=O)[O-])c1,3.643057684
CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,3.699436949
O=C(O)c1cc2ccccc2cc1O,2.354454754
O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,1.870160351
O=[N+]([O-])c1nccs1,2.977650188
CCCc1c(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(N2CCCC2)nc2ncnn12,3.190859069
OCCCCCO,1.716625109
CCCCCCCC(=O)Oc1ccc(C)cc1,2.16572459
COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,2.934731948
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,3.641310767
CCCCCCC1(C)CCC(=O)O1,1.566505843
CCOC(C(=N)N1CCCC1)c1ccccc1,2.66712968
O=C(O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.498460473
Nc1ccc(C(=O)O)cc1,1.296537193
Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,1.646684015
CCC=CCCCCCCCCC1CC(=O)OC1=O,2.018963065
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,2.125978711
CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,3.740111876
CN1C2CCC(C)(C)C1CC(OC(=O)C(O)(c1cccs1)c1cccs1)C2,2.535464408
O=COCCCc1ccccc1,1.603660424
CC(C)C=O,1.875706194
O=S(=O)(O)c1cc(Cl)ccc1C=Cc1ccc(-n2nc3ccc4c(S(=O)(=O)O)cccc4c3n2)cc1S(=O)(=O)O,1.494977803
O=C(O)c1ccccc1N=Cc1ccccc1O,2.683490117
CCNC(=O)C(C)OC(=O)Nc1ccccc1,1.332017734
CCCCC=CCCCCCCCCCC=O,1.678363571
COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,2.45686837
Cc1ccc(OC(=O)c2ccccc2O)cc1,2.244461726
CCOP(=S)(CC)SCOc1ccc(Cl)cc1Cl,3.488919438
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,3.592711144
CC(Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1)C(=O)N1CCCO1,2.884490628
CCOc1ccc(N(N=O)C(C)=O)cc1,3.99629689
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,2.652377289
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.34713999
COCC(=O)CNC(=O)Oc1ccccc1OC(C)C,3.604084043
O=C1OC(OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21,1.538174568
CCP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,5.213377839
CC(C(O)c1ccccc1)N(C)CCC#N,2.365925882
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,1.986512971
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,1.906985936
FC(F)(F)c1nc2c(Br)c(Cl)c(Cl)c(Br)c2[nH]1,5.079958335
CCCCCCCC(O)CCO,0.940227523
O=C1CCc2cc(C(=O)CCN3CCN(c4ccccc4)CC3)ccc2N1,2.861487813
CCCCOCCOCCCO,1.533494208
COP(=S)(OC)c1ccccc1,2.652600854
NC(=S)N=Nc1ccc(NN=C(N)N)cc1,2.500221833
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,2.982245912
NC(=O)Cc1c(=O)o[n-][n+]1Cc1ccccc1,1.719418815
CC(N)CN,1.521671561
CCCc1cc(OP(=S)(OCC)OCC)nc(C)n1,3.066735653
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,2.604885756
CCCCCCCCCCCC(=O)N(CCO)CCO,2.027189484
CNC(=O)ON=C(C)C(C)(C)[N+](=O)[O-],4.193976077
O=S(O)c1ccc(Cl)cc1,2.548079712
CCCOP(=O)(SCCC)SCCC,3.298282575
COC(=O)CCC(Br)C(C)=O,2.570282129
Cc1ccccc1C(C)c1ccccc1,2.049866764
CC(C)(C)c1ccc2nc(C(F)(F)F)[nH]c2c1,3.840184985
CCOP(=O)(OCC)OP(=O)(N(C)C)N(C)C,4.879942024
CC1CCCc2ccccc21,1.338970587
O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,2.47491866
NC(=O)C1c2ccccc2CCc2ccccc21,1.995090157
CC(=O)c1ccc2cc(CC(=O)O)ccc2c1,2.057375082
COC(=O)C1=C(C(=O)OC)CCCC1,2.45204505
CC(C)N(C(=O)Cn1nc(-c2ccccc2)ccc1=O)C(C)Cc1ccccc1,2.330434959
C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,2.726080597
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,2.266744736
COC(=O)C(=Cc1ccccc1[N+](=O)[O-])C(C)=O,1.697616373
COc1ccc([N+](=O)[O-])cc1CNCCCl,3.941436891
COP(=O)(OC)SC(C)C,3.231858797
CC(C)CON=O,2.400563259
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,3.835812255
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,2.88055717
NCCSSCCN,2.230357673
COc1ccc2nc3c(c(N)c2c1)CCCC3,2.481701424
CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,3.129878537
Nc1nc2ccc(Br)cc2o1,2.629478918
CCOP(=O)(OCC)SCC1(C)SCCS1,4.033456786
COP(=S)(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,3.074374488
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,1.864323558
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.370310168
CN(C)C1=[S][Bi+3]23([S]=C(N(C)C)[S-]2)([S]=C(N(C)C)[S-]3)[S-]1,2.278483797
CN/C(=N\C#N)NCCSCc1[nH]cnc1C,1.703028142
CCC(O)CC,1.67338071
O=[Cr](=O)(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,2.276297641
FC1(F)CC(C2CC3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl)C1(F)F,2.889942101
Fc1c(Cl)c(Br)c2nc(C(F)(F)F)[nH]c2c1Cl,4.749998517
CCCc1nc2ncnn2c(N(CC)CC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,3.192735601
CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1)OCO3,2.926257167
CC(C(=O)OCCOCCO)c1ccc2c(c1)C(=O)Cc1ccccc1O2,3.153698803
CC(=O)SCc1cnc(C)c(O)c1CSC(C)=O,2.515919499
CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,1.850876068
C=CCOc1ccc(CC(=O)O)cc1Cl,2.334183669
CCOC(C)C(C=NNC(N)=S)=NNC(N)=S,1.936373919
CC(=O)c1cccc([N+](=O)[O-])c1,1.705989958
CC(C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,2.738424468
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,2.894282181
CNc1snc2ccccc12,2.613400435
CON=Cc1ccc(OCC(O)(Cn2cncn2)C(C)(C)C)cc1,2.557406611
CCC(=O)N(c1ccccc1)C1CCN2CC(c3ccccc3)c3ccccc3C2C1,3.136256438
O=C(O)c1cc(O)c(O)c(C(=O)Oc2cc(O)c(O)c(O)c2)c1,2.154050793
COc1cccc(O)c1,2.317933911
O=c1c2[nH]nnc2nc2sc(CCC3CCCCC3)nn12,1.784444682
O=[N+]([O-])OCC(O)CO[N+](=O)[O-],2.232931718
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,2.367211821
CC(C)OP(=S)(CCl)Sc1ccc(F)cc1,3.884275287
Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,1.662777603
O=c1[nH]c2ccccc2o1,2.285628025
O=C(Nc1ccc(Cl)cc1)c1cc(Cl)cc(-c2ccc(Cl)cc2)c1O,2.145320297
CC(=O)COc1nn(-c2cccc(C(F)(F)F)c2)c2ncccc12,2.525414124
CC(C)=CCO,2.026689597
COc1ccccc1C1C(Cl)C(=O)N1c1ccccc1C(=O)O,2.140606235
c1cc2c(cc1C1CO1)O2,1.67575244
CC(C)COC(=O)CCCOc1ccc(Cl)cc1Cl,3.007464698
CCOC=CC(OCC)OCC,1.850212755
CSC(C)=NOC(=O)N(C)SN(C(C)(C)C)P1(=S)OCC(C)(C)CO1,1.729943957
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,2.228923148
Nc1ccc(N=Nc2ccc(-c3ccc(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)c(N=Nc6ccccc6)c(O)c5c4N)cc3)cc2)c(N)c1,1.987113286
CCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O,2.139458225
Cc1cc(O)c2c(O)c(-c3ccc4cc(C)cc(O)c4c3O)ccc2c1,2.062434061
Nc1ccc(Nc2ccccc2)cc1,2.598870659
CNC=O,1.169292275
CCCNC(=O)Cc1cnc2cccc(C)n2c1=O,3.015877582
OCCOc1cc(Cl)c(Cl)cc1Cl,2.206827674
CCNC(=O)NCc1cccc(Cl)c1,1.72566666
CC(O)c1cc(N)cc(C(F)(F)F)c1,2.367650237
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,2.997537822
CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,2.210165968
CCC,0.94543904
C=CCOCC=C,2.486718201
CCOCCC(C)CCC=C(C)C,1.566609526
O=C(O)c1cc(Cl)cc([N+](=O)[O-])c1Cl,1.890094419
CCC(C)c1ccc2ncccc2c1,2.25920493
OCC1COC(c2ccccc2)O1,1.757451463
NC(=O)OC1CCCCC1,1.813477876
CCCc1[nH]c2ccnn2c(=O)c1Cc1ccc(-c2ccccc2C(=O)O)cc1,3.11108208
Nc1nc(=O)cc(O)[nH]1,1.062763116
Cc1cc(O)c(C)c(C)c1O,1.6772447
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,2.509478004
CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,4.718869278
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,1.257552511
CC(C)N(N=O)C(C)C,2.185162037
CCP(CC)(CC)=[Au]SC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,3.408298217
O=C1C=Cc2ccccc2C1=NNc1ccc(/N=N/c2ccc(S(=O)(=O)O)cc2)cc1,1.747430487
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,1.575613845
CNC(=O)Oc1cc(C)c(C)c(C)c1,3.035690511
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,7.602646797
c1cc2c(cc1C1CCCCC1)c1c3n2CCNC3CCC1,1.981578548
CCN(CC)C(=S)SSC(=S)N(CC)CC,2.773130853
c1ccc2c(C(CCN3CCOCC3)CCN3CCOCC3)cccc2c1,2.716428983
CCCCCCCCOC=O,1.500349014
CN(CCc1ccccc1)N=O,3.534153074
FC(F)(F)c1nc2cc(Br)c(Cl)c(Cl)c2[nH]1,5.080069153
CCC(Cl)(Cl)Cl,1.29585293
CCCC(O)CCO,0.77149929
CC(=O)OCCCC(=O)CBr,2.570282129
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.726390116
CN(SSN(C)C(=O)ON=C1CSCCS1)C(=O)ON=C1CSCCS1,3.472301079
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.481644679
O=Cc1ccc(Cl)cc1,1.950608997
CN(C)C(=O)N(C)C,2.165251056
CC(C)c1nc2ccccc2c(=O)n1-c1ccncc1,2.548702178
COP(=S)(OC)SCN1C(=O)CSC1=O,3.625862991
NC(=O)c1c(F)cccc1F,1.677846391
CCC(C)(C#N)N=NC(C)(C#N)CC,2.291791003
CC1CN1P(=O)(N1CC1C)N1CC1C,3.199378022
NS(=O)(=O)CCl,1.33074238
COc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,2.632027847
Nc1cc(Cl)ccc1Cl,2.005445965
CC1COC(C)CO1,1.587935349
CN1C(C(=O)Nc2ccccn2)=C(OC(=O)C23CC4CC(CC(C4)C2)C3)c2sc(Cl)cc2S1(=O)=O,3.727589238
Cl[Hg]c1ccccc1,3.717599779
CCOP(=S)(Oc1cnn(C)c(=O)c1)OC(C)C,4.465824358
c1ccc2cnccc2c1,2.55483226
C=C(Cl)C(=O)OC,3.24860426
c1ccc(C2CO2)cc1,1.778697394
CC(=O)OCCC1=CCC2CC1C2(C)C,1.8415701
CCCCOCCC#N,1.231703896
COc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCc2ccccc2)cc1,2.624838791
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,3.491893729
C=CN(C)N=O,3.554761644
COP(=O)(OC)OP(=O)(OC)OC,5.138917243
CC(CCN(C)C)N(C)C,2.284090685
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.831508885
CNC(=O)Oc1ccc(O)c2ccccc12,2.261360845
Nc1ccc(F)c(F)c1,2.5794776
CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,3.323869643
CCN(CC)C(=S)N/N=C/c1ccc([N+](=O)[O-])o1,2.556807276
CCCCCCCCCCCCN1CCCCCC1=O,1.75048371
C=C(C)CNCC,3.297440963
